Time;Hour;STA 6;STA 5;STA 4;STA 3;STA 2;STA 1
331;2021-01-06T17:54:40+01:00;1;0;1;1;1;1
332;2021-01-06T17:54:41+01:00;1;0;1;1;1;1
333;2021-01-06T17:54:42+01:00;1;0;1;1;1;1
334;2021-01-06T17:54:43+01:00;1;0;1;1;1;1
335;2021-01-06T17:54:44+01:00;0;0;1;1;1;1
336;2021-01-06T17:54:45+01:00;0;0;1;1;1;1
337;2021-01-06T17:54:46+01:00;0;0;1;1;1;1
338;2021-01-06T17:54:47+01:00;0;0;1;1;1;1
339;2021-01-06T17:54:48+01:00;0;0;1;1;1;1
340;2021-01-06T17:54:49+01:00;0;0;1;1;1;1
341;2021-01-06T17:54:50+01:00;0;0;1;1;1;1
342;2021-01-06T17:54:51+01:00;0;0;1;1;1;1
343;2021-01-06T17:54:52+01:00;0;0;1;1;1;1
344;2021-01-06T17:54:53+01:00;0;0;1;1;1;1
345;2021-01-06T17:54:54+01:00;0;0;1;1;1;1
346;2021-01-06T17:54:55+01:00;0;0;1;1;1;1
347;2021-01-06T17:54:56+01:00;0;0;1;1;1;1
348;2021-01-06T17:54:57+01:00;0;0;1;1;1;1
349;2021-01-06T17:54:58+01:00;0;0;1;1;1;1
350;2021-01-06T17:54:59+01:00;0;0;1;1;1;1
351;2021-01-06T17:55:00+01:00;0;0;1;1;1;1
352;2021-01-06T17:55:01+01:00;0;0;1;1;1;1
353;2021-01-06T17:55:02+01:00;0;0;1;1;1;1
354;2021-01-06T17:55:03+01:00;0;0;1;1;1;1
355;2021-01-06T17:55:04+01:00;1;0;1;1;1;1
356;2021-01-06T17:55:05+01:00;1;0;1;1;1;1
357;2021-01-06T17:55:06+01:00;1;0;1;1;1;1
358;2021-01-06T17:55:07+01:00;1;0;1;1;1;1
359;2021-01-06T17:55:08+01:00;1;0;1;1;1;1
360;2021-01-06T17:55:09+01:00;1;0;1;1;1;1
361;2021-01-06T17:55:10+01:00;1;0;1;1;1;1
362;2021-01-06T17:55:11+01:00;1;0;1;1;1;1
363;2021-01-06T17:55:12+01:00;1;0;1;1;1;1
364;2021-01-06T17:55:13+01:00;1;0;1;1;1;1
365;2021-01-06T17:55:14+01:00;1;0;1;1;1;1
366;2021-01-06T17:55:15+01:00;1;0;1;1;1;1
367;2021-01-06T17:55:16+01:00;1;0;1;1;1;1
368;2021-01-06T17:55:17+01:00;1;0;1;1;1;1
369;2021-01-06T17:55:18+01:00;1;0;1;1;1;1
370;2021-01-06T17:55:19+01:00;1;0;1;1;1;1
371;2021-01-06T17:55:20+01:00;1;0;1;1;1;1
372;2021-01-06T17:55:21+01:00;1;0;1;1;1;1
373;2021-01-06T17:55:22+01:00;1;0;1;1;1;1
374;2021-01-06T17:55:23+01:00;1;0;1;1;1;1
375;2021-01-06T17:55:24+01:00;0;0;0;1;1;1
376;2021-01-06T17:55:25+01:00;0;0;0;1;1;1
377;2021-01-06T17:55:26+01:00;0;0;0;1;1;1
378;2021-01-06T17:55:27+01:00;0;0;0;1;1;1
379;2021-01-06T17:55:28+01:00;0;0;0;1;1;1
380;2021-01-06T17:55:29+01:00;0;0;0;1;1;1
381;2021-01-06T17:55:30+01:00;0;0;0;1;1;1
382;2021-01-06T17:55:31+01:00;0;0;0;1;1;1
383;2021-01-06T17:55:32+01:00;0;0;0;1;1;1
384;2021-01-06T17:55:33+01:00;0;0;0;1;1;1
385;2021-01-06T17:55:34+01:00;0;0;0;1;1;1
386;2021-01-06T17:55:35+01:00;0;0;0;1;1;1
387;2021-01-06T17:55:36+01:00;0;0;0;1;1;1
388;2021-01-06T17:55:37+01:00;0;0;0;1;1;1
389;2021-01-06T17:55:38+01:00;0;0;0;1;1;1
390;2021-01-06T17:55:39+01:00;0;0;0;1;1;1
391;2021-01-06T17:55:40+01:00;0;0;0;1;1;1
392;2021-01-06T17:55:41+01:00;0;0;0;1;1;1
393;2021-01-06T17:55:42+01:00;0;0;0;1;1;1
394;2021-01-06T17:55:43+01:00;0;0;0;1;1;1
395;2021-01-06T17:55:44+01:00;1;0;1;1;1;1
396;2021-01-06T17:55:45+01:00;1;0;1;1;1;1
397;2021-01-06T17:55:46+01:00;1;0;1;1;1;1
398;2021-01-06T17:55:47+01:00;1;0;1;1;1;1
399;2021-01-06T17:55:48+01:00;1;0;1;1;1;1
400;2021-01-06T17:55:49+01:00;1;0;1;1;1;1
401;2021-01-06T17:55:50+01:00;1;0;1;1;1;1
402;2021-01-06T17:55:51+01:00;1;0;1;1;1;1
403;2021-01-06T17:55:52+01:00;1;0;1;1;1;1
404;2021-01-06T17:55:53+01:00;1;0;1;1;1;1
405;2021-01-06T17:55:54+01:00;1;0;1;1;1;1
406;2021-01-06T17:55:55+01:00;1;0;1;1;1;1
407;2021-01-06T17:55:56+01:00;1;0;1;1;1;1
408;2021-01-06T17:55:57+01:00;1;0;1;1;1;1
409;2021-01-06T17:55:58+01:00;1;0;1;1;1;1
410;2021-01-06T17:55:59+01:00;1;0;1;1;1;1
411;2021-01-06T17:56:00+01:00;1;0;1;1;1;1
412;2021-01-06T17:56:01+01:00;1;0;1;1;1;1
413;2021-01-06T17:56:02+01:00;1;0;1;1;1;1
414;2021-01-06T17:56:03+01:00;1;0;1;1;1;1
415;2021-01-06T17:56:04+01:00;1;0;1;1;1;1
416;2021-01-06T17:56:05+01:00;1;0;1;1;1;1
417;2021-01-06T17:56:06+01:00;1;0;1;1;1;1
418;2021-01-06T17:56:07+01:00;1;0;1;1;1;1
419;2021-01-06T17:56:08+01:00;1;0;1;1;1;1
420;2021-01-06T17:56:09+01:00;1;0;1;1;1;1
421;2021-01-06T17:56:10+01:00;1;0;1;1;1;1
422;2021-01-06T17:56:11+01:00;1;0;1;1;1;1
423;2021-01-06T17:56:12+01:00;1;0;1;1;1;1
424;2021-01-06T17:56:13+01:00;1;0;1;1;1;1
425;2021-01-06T17:56:14+01:00;1;0;1;1;1;1
426;2021-01-06T17:56:15+01:00;1;0;1;1;1;1
427;2021-01-06T17:56:16+01:00;1;0;1;1;1;1
428;2021-01-06T17:56:17+01:00;1;0;1;1;1;1
429;2021-01-06T17:56:18+01:00;1;0;1;1;1;1
430;2021-01-06T17:56:19+01:00;1;0;1;1;1;1
431;2021-01-06T17:56:20+01:00;1;0;1;1;1;1
432;2021-01-06T17:56:21+01:00;1;0;1;1;1;1
433;2021-01-06T17:56:22+01:00;1;0;1;1;1;1
434;2021-01-06T17:56:23+01:00;1;0;1;1;1;1
435;2021-01-06T17:56:24+01:00;1;0;1;1;1;1
436;2021-01-06T17:56:25+01:00;1;0;1;1;1;1
437;2021-01-06T17:56:26+01:00;1;0;1;1;1;1
438;2021-01-06T17:56:27+01:00;1;0;1;1;1;1
439;2021-01-06T17:56:28+01:00;1;0;1;1;1;1
440;2021-01-06T17:56:29+01:00;1;0;1;1;1;1
441;2021-01-06T17:56:30+01:00;1;0;1;1;1;1
442;2021-01-06T17:56:31+01:00;1;0;1;1;1;1
443;2021-01-06T17:56:32+01:00;1;0;1;1;1;1
444;2021-01-06T17:56:33+01:00;1;0;1;1;1;1
445;2021-01-06T17:56:34+01:00;1;0;1;1;1;1
446;2021-01-06T17:56:35+01:00;1;0;1;1;1;1
