Datetime;STA 6;STA 3;STA 4;STA 1;STA 2;STA 5
2021-01-06T17:55:21+01:00;-71;null;null;null;null;null
2021-01-06T17:55:23+01:00;-71;null;null;null;null;null
2021-01-06T17:55:24+01:00;-71;null;null;0;null;null
2021-01-06T17:55:25+01:00;-71;null;null;-40;null;null
2021-01-06T17:55:26+01:00;-71;null;null;-40;null;null
2021-01-06T17:55:27+01:00;-71;null;null;-40;null;null
2021-01-06T17:55:28+01:00;-71;null;null;-40;null;null
2021-01-06T17:55:29+01:00;-71;-53;null;-40;null;null
2021-01-06T17:55:30+01:00;-71;-52;null;-40;null;null
2021-01-06T17:55:31+01:00;null;-51;-58;-40;null;null
2021-01-06T17:55:32+01:00;null;-51;-58;-41;null;null
2021-01-06T17:55:34+01:00;null;-51;-58;-41;null;null
2021-01-06T17:55:35+01:00;null;-51;-58;-41;null;null
2021-01-06T17:55:36+01:00;null;-51;-58;-41;null;null
2021-01-06T17:55:38+01:00;null;-51;null;-41;null;null
2021-01-06T17:55:39+01:00;null;null;null;-42;-45;null
2021-01-06T17:55:40+01:00;null;null;null;-43;-44;null
2021-01-06T17:55:42+01:00;null;null;null;-43;-44;null
2021-01-06T17:55:44+01:00;null;null;null;-43;-44;null
2021-01-06T17:55:45+01:00;null;null;null;-43;-44;null
2021-01-06T17:55:46+01:00;null;-49;null;-43;-44;null
2021-01-06T17:55:47+01:00;-69;-49;-52;null;-44;null
2021-01-06T17:55:49+01:00;-69;-49;-52;null;null;null
2021-01-06T17:55:51+01:00;-69;null;-52;null;null;null
2021-01-06T17:55:52+01:00;-69;null;-52;null;null;null
2021-01-06T17:56:09+01:00;null;-51;null;null;null;null
2021-01-06T17:56:10+01:00;-69;-51;null;null;null;null
2021-01-06T17:56:11+01:00;-70;-51;null;null;null;null
2021-01-06T17:56:12+01:00;-70;-51;null;null;null;null
2021-01-06T17:56:13+01:00;-70;-51;null;null;null;null
2021-01-06T17:56:14+01:00;-70;-51;null;null;null;null
2021-01-06T17:56:16+01:00;-70;-51;null;null;null;null
2021-01-06T17:56:18+01:00;-70;-51;null;null;null;null
2021-01-06T17:56:28+01:00;null;null;null;0;null;null
2021-01-06T17:56:29+01:00;null;null;null;-45;null;null
2021-01-06T17:56:30+01:00;null;null;null;-45;null;null
