Time;QoS 1;BE 1;BE 2;BE 3;QoS 2;;;;;;
275;34.538;;;;;;;;;;
276;31.742;;;;;;;;;;
277;25.855;;;;;;;;;;
278;21.63;;;;;;;;;;
279;16.188;;;;;;;;;;
280;18.53;;;;;;;;;;
281;22.235;;;;;;;;;;
282;27.442;;;;;;;;;;
283;;;;;;;;;;;
284;;;;;;;;;;;
285;;;;;;;;;;;
286;;;;;;;;;;;
287;;;;;;;;;;;
288;;;;;;;;;;;
289;;;;;;;;;;;
290;;;;;;;;;;;
291;;;;;;;;;;;
292;;;;;;;;;;;
293;;;;;;;;;;;
294;;;;;;;;;;;
295;;;;;;;;;;;
296;;;;;;;;;;;
297;;;;;;;;;;;
298;;;;;;;;;;;
299;;;;;;;;;;;
300;;;;;;;;;;;
301;;;;;;;;;;;
