Time;QoS 1;BE 1;BE 2;BE 3;QoS 2;;;;;;;
151;2.272064;6.902912000000001;6.460640000000001;0;;;;;;;;
152;1.968544;7.24112;7.0590079999999995;0;;;;;;;;
153;1.9512;6.5733760000000006;6.486656;0;;;;;;;;
154;1.7083840000000001;5.07312;7.137055999999999;0;;;;;;;;
155;0.21680000000000002;0.667744;7.275808;5.46336;;;;;;;;
156;2.176672;3.564192;5.740863999999999;14.620992;;;;;;;;
157;3.2173119999999997;4.431392;4.318656;13.05136;;;;;;;;
158;2.4281599999999997;4.786944;4.353344;15.947808;;;;;;;;
159;2.3674560000000002;4.630848;3.798336;14.421536;;;;;;;;
160;1.8211199999999999;4.231935999999999;3.3647359999999997;13.519648;;;;;;;;
161;1.916512;4.46608;4.544128;14.777088;;;;;;;;
162;2.21136;4.544128;3.8416959999999998;14.126688;;;;;;;;
163;2.176672;4.856319999999999;3.885056;13.39824;;;;;;;;
164;2.176672;5.255232;4.318656;0.225472;;;;;;;;
165;2.12464;4.275296;0.199456;8.316448000000001;;;;;;;;
166;1.803776;3.9284160000000004;2.332768;13.883872;;;;;;;;
167;1.6910399999999999;3.9457600000000004;3.2693440000000002;13.060032;;;;;;;;
168;1.8297919999999999;4.049824;1.5609600000000001;15.574912;;;;;;;;
169;2.272064;4.110528;1.3701759999999998;15.43616;;;;;;;;
170;2.12464;3.997792;1.283456;13.259488;;;;;;;;
171;2.046592;3.798336;2.3674560000000002;15.904448;;;;;;;;
172;2.185344;4.197247999999999;0.95392;14.924512;;;;;;;;
173;2.150656;3.798336;1.4222080000000001;16.069216;;;;;;;;
174;1.8297919999999999;3.7463040000000003;1.2661120000000001;13.39824;;;;;;;;
175;1.066656;0.23414400000000002;3.486144;11.386336;;;;;;;;
176;3.0872319999999998;2.73168;3.8416959999999998;13.814495999999998;;;;;;;;
177;2.055264;5.220544;3.9457600000000004;12.695808000000001;;;;;;;;
178;2.107296;6.738144;4.700224;15.956479999999999;;;;;;;;
179;2.03792;6.261184;4.257952;13.6584;;;;;;;;
180;1.86448;5.532736;3.3473919999999997;14.161376;;;;;;;;
181;2.159328;6.2785280000000006;4.171232;13.320191999999999;;;;;;;;
