Time;Hour;STA 4;STA 3;STA 2;STA 1
211;2020-06-28T18:45:31+02:00;0;1;1;1
212;2020-06-28T18:45:32+02:00;0;1;1;1
213;2020-06-28T18:45:33+02:00;0;1;1;1
214;2020-06-28T18:45:34+02:00;0;1;1;1
215;2020-06-28T18:45:35+02:00;0;1;1;1
216;2020-06-28T18:45:36+02:00;0;1;1;1
217;2020-06-28T18:45:37+02:00;0;1;1;1
218;2020-06-28T18:45:38+02:00;0;1;1;1
219;2020-06-28T18:45:39+02:00;0;1;1;1
220;2020-06-28T18:45:40+02:00;0;1;1;1
221;2020-06-28T18:45:41+02:00;0;1;1;1
222;2020-06-28T18:45:42+02:00;0;1;1;1
223;2020-06-28T18:45:43+02:00;0;1;1;1
224;2020-06-28T18:45:44+02:00;0;1;1;1
225;2020-06-28T18:45:45+02:00;0;1;1;1
226;2020-06-28T18:45:46+02:00;0;1;1;1
227;2020-06-28T18:45:47+02:00;0;1;1;1
228;2020-06-28T18:45:48+02:00;0;1;1;1
229;2020-06-28T18:45:49+02:00;0;1;1;1
230;2020-06-28T18:45:50+02:00;0;1;1;1
231;2020-06-28T18:45:51+02:00;0;1;1;1
232;2020-06-28T18:45:52+02:00;0;1;1;1
233;2020-06-28T18:45:53+02:00;0;1;1;1
234;2020-06-28T18:45:54+02:00;0;1;1;1
235;2020-06-28T18:45:55+02:00;0;1;1;1
236;2020-06-28T18:45:56+02:00;0;1;1;1
237;2020-06-28T18:45:57+02:00;0;1;1;1
238;2020-06-28T18:45:58+02:00;0;1;1;1
239;2020-06-28T18:45:59+02:00;0;1;1;1
240;2020-06-28T18:46:00+02:00;0;1;1;1
241;2020-06-28T18:46:01+02:00;0;1;1;1
242;2020-06-28T18:46:02+02:00;0;1;1;1
243;2020-06-28T18:46:03+02:00;0;0;1;1
244;2020-06-28T18:46:04+02:00;0;0;1;1
245;2020-06-28T18:46:05+02:00;0;0;1;1
246;2020-06-28T18:46:06+02:00;0;0;1;1
247;2020-06-28T18:46:07+02:00;0;0;1;1
248;2020-06-28T18:46:08+02:00;0;0;1;1
249;2020-06-28T18:46:09+02:00;0;0;1;1
250;2020-06-28T18:46:10+02:00;0;0;1;1
251;2020-06-28T18:46:11+02:00;0;0;1;1
252;2020-06-28T18:46:12+02:00;0;0;1;1
253;2020-06-28T18:46:13+02:00;0;0;1;1
254;2020-06-28T18:46:14+02:00;0;0;1;1
255;2020-06-28T18:46:15+02:00;0;0;1;1
256;2020-06-28T18:46:16+02:00;0;0;1;1
257;2020-06-28T18:46:17+02:00;0;0;1;1
258;2020-06-28T18:46:18+02:00;0;0;1;1
259;2020-06-28T18:46:19+02:00;0;0;1;1
260;2020-06-28T18:46:20+02:00;0;0;1;1
261;2020-06-28T18:46:21+02:00;0;0;1;1
262;2020-06-28T18:46:22+02:00;0;0;1;1
