Time (sec), Single Slice Throughput (ms), Single Slice Stdev, Static Slices Throughput (ms), Static Slices Stdev, Adaptive Slices Throughput (ms), Adaptive Slices Stdev
56,34.96040699213706,2.1216731115813237,36.24966627208261,0.5104851095693954,33.405054792984174,4.0388300594695865
57,35.3750676009603,2.0924641557639134,36.138409184379036,0.38010817592098894,34.051087810156716,3.8621183180061354
58,35.78972820978353,1.9690201037026391,36.11869890238929,0.31502183549568485,34.69712082732925,3.549870209581255
59,36.204388818606766,1.731299676339216,36.21611678944089,0.4200731824681892,35.34315384450179,3.0608838686001905
60,36.61904942743,1.31889402329306,36.313534676492495,0.4824993907147634,35.98918686167433,2.2843494826387136
61,36.928610893174216,0.40014271431004456,36.41095256354409,0.517949135603648,36.66319682165833,0.37042625351531466
62,36.87945782666107,0.46002645141688114,36.50837045059569,0.5318443510335495,36.62390992164597,0.3488976859510141
63,36.83030476014792,0.5077590250366656,36.63644806671353,0.563721556898959,36.584623021633604,0.3206991863146428
64,36.78115169363477,0.5465334997274561,36.75865460149358,0.5710877723339697,36.54533612162125,0.2838498332148473
65,36.73199862712162,0.578155041885545,36.88086113627363,0.5492219332762313,36.50604922160888,0.23430295431692813
66,35.95273430934056,2.6593747296838033,37.00306767105368,0.49425950527986967,36.47857532998263,0.17606770617715403
67,35.11752391499363,3.4993381422263368,37.125274205833726,0.392535888057178,36.51836528118021,0.18079584614031316
68,34.2823135206467,3.985447632096549,35.72718751665459,4.9942464316155,36.558155232377786,0.17575923966843676
69,33.44710312629977,4.241173202842884,34.23755402176163,6.706128296179639,36.59794518357536,0.16003860221893426
70,32.611892731952835,4.307741793402408,32.747920526868675,7.753708695966265,36.63773513477294,0.12980858829708317
71,32.356562715736544,4.078331178776999,31.258287031975723,8.389637827162096,36.685929692754584,0.08046234322395142
72,32.206331842599276,3.9528290400053483,29.768653537082766,8.704609681769767,36.706147307924766,0.08627900393435053
73,32.05610096946201,3.816710251210948,28.907879238862016,8.37294259599275,36.72636492309495,0.08668731189594708
