sep=;
"Time";"APP: 3";"APP: 4";"APP: 2";"APP: 1"
"2020-10-09T12:43:46+02:00";2.7;0.4;null;29.4
"2020-10-09T12:43:47+02:00";null;null;27.1;null
"2020-10-09T12:43:50+02:00";null;null;null;22.6
"2020-10-09T12:43:51+02:00";3.2;0.7;30.7;22.6
"2020-10-09T12:43:52+02:00";null;null;30.7;null
"2020-10-09T12:43:56+02:00";3;1;27.4;16.6
"2020-10-09T12:44:00+02:00";null;null;null;17.4
"2020-10-09T12:44:01+02:00";2.9;0.8;21.1;17.4
"2020-10-09T12:44:06+02:00";2.8;0.6;null;15
"2020-10-09T12:44:07+02:00";null;null;23.8;null
"2020-10-09T12:44:10+02:00";null;null;null;16.4
"2020-10-09T12:44:11+02:00";2.8;0.6;22.6;16.4
"2020-10-09T12:44:12+02:00";null;null;22.6;null
"2020-10-09T12:44:16+02:00";3;0.7;null;16.4
"2020-10-09T12:44:17+02:00";null;null;28;null
"2020-10-09T12:44:20+02:00";null;null;null;18.6
"2020-10-09T12:44:21+02:00";3.2;0.8;null;18.6
"2020-10-09T12:44:22+02:00";null;0.8;24.6;null
"2020-10-09T12:44:25+02:00";null;null;null;17.5
"2020-10-09T12:44:26+02:00";3.3;0.8;null;17.5
"2020-10-09T12:44:27+02:00";null;0.8;22.1;null
"2020-10-09T12:44:30+02:00";null;null;null;14
"2020-10-09T12:44:31+02:00";3.6;0.8;null;null
"2020-10-09T12:44:32+02:00";null;null;21.5;null
"2020-10-09T12:44:35+02:00";null;null;null;11.1
"2020-10-09T12:44:36+02:00";2.5;0.9;null;null
"2020-10-09T12:44:37+02:00";null;null;22.2;null
"2020-10-09T12:44:40+02:00";null;null;null;11
"2020-10-09T12:44:41+02:00";1.6;0.7;null;11
"2020-10-09T12:44:42+02:00";null;null;18.6;null
"2020-10-09T12:44:45+02:00";null;null;null;11.5
"2020-10-09T12:44:46+02:00";1.4;null;19.9;null
"2020-10-09T12:44:47+02:00";null;0.7;19.9;null
"2020-10-09T12:44:51+02:00";1.3;null;21.2;14.4
"2020-10-09T12:44:52+02:00";null;2;null;null
"2020-10-09T12:44:55+02:00";null;null;null;16.8
"2020-10-09T12:44:56+02:00";1.2;null;21.2;null
"2020-10-09T12:44:57+02:00";null;3.6;null;null
"2020-10-09T12:45:01+02:00";0.9;null;20.9;22.7
"2020-10-09T12:45:02+02:00";null;3.6;null;null
"2020-10-09T12:45:06+02:00";0.6;3.5;null;23.6
"2020-10-09T12:45:07+02:00";null;3.5;18.6;null
"2020-10-09T12:45:10+02:00";null;null;null;26.7
"2020-10-09T12:45:11+02:00";0.4;null;null;null
"2020-10-09T12:45:12+02:00";null;3.4;18.9;null
"2020-10-09T12:45:16+02:00";0.3;null;null;32.9
"2020-10-09T12:45:17+02:00";null;3.4;18.7;null
"2020-10-09T12:45:20+02:00";null;null;null;38.2
"2020-10-09T12:45:21+02:00";0;null;19.1;38.2
"2020-10-09T12:45:22+02:00";null;3.4;null;null
"2020-10-09T12:45:25+02:00";null;null;null;37.8
"2020-10-09T12:45:26+02:00";0.3;null;null;37.8
"2020-10-09T12:45:27+02:00";null;3.3;20.3;null
"2020-10-09T12:45:30+02:00";null;null;null;38.5
"2020-10-09T12:45:31+02:00";0.6;null;22.9;38.5
"2020-10-09T12:45:32+02:00";null;3.3;22.9;null
"2020-10-09T12:45:36+02:00";0.6;null;null;44.2
"2020-10-09T12:45:37+02:00";null;3.1;28.4;null
"2020-10-09T12:45:41+02:00";0.6;null;35.4;40.7
"2020-10-09T12:45:42+02:00";null;1.8;35.4;null
"2020-10-09T12:45:46+02:00";0.6;null;null;38.5
"2020-10-09T12:45:47+02:00";null;0.2;37.7;null
"2020-10-09T12:45:51+02:00";0.6;null;36.9;31.8
"2020-10-09T12:45:52+02:00";null;0.2;36.9;null
"2020-10-09T12:45:56+02:00";0.6;null;null;33.4
"2020-10-09T12:45:57+02:00";null;0.2;35.2;null
"2020-10-09T12:46:00+02:00";null;null;null;31.4
"2020-10-09T12:46:01+02:00";0.6;null;null;31.4
"2020-10-09T12:46:02+02:00";null;0.2;34.9;null
"2020-10-09T12:46:06+02:00";0.6;null;null;31
"2020-10-09T12:46:07+02:00";null;0.2;36.5;null
"2020-10-09T12:46:11+02:00";0.6;null;null;26.1
"2020-10-09T12:46:12+02:00";null;1.1;41.7;null
"2020-10-09T12:46:16+02:00";0.3;null;43.1;26.8
"2020-10-09T12:46:17+02:00";null;2;43.1;null
"2020-10-09T12:46:20+02:00";null;null;null;28.4
