Time,Hour,0x00,0x01,QoS Delay
241,2020-10-30T11:54:54-07:00,0.115,0,0.042
242,2020-10-30T11:54:55-07:00,0.07,0,0.053
243,2020-10-30T11:54:56-07:00,0.018,0,0.049
244,2020-10-30T11:54:57-07:00,0.015,0,0.056
245,2020-10-30T11:54:58-07:00,0.019,0,0.067
246,2020-10-30T11:54:59-07:00,0.013,0,0.041
247,2020-10-30T11:55:00-07:00,0.016,0,0.054
248,2020-10-30T11:55:01-07:00,0.044,0,0.074
249,2020-10-30T11:55:02-07:00,0.059,0,0.041
250,2020-10-30T11:55:03-07:00,0.031,0,0.04
251,2020-10-30T11:55:04-07:00,0.021,0,0.073
252,2020-10-30T11:55:05-07:00,0.042,0,0.05
253,2020-10-30T11:55:06-07:00,0.02,0,0.038
254,2020-10-30T11:55:07-07:00,0.042,0,0.041
255,2020-10-30T11:55:08-07:00,0.068,0,0.045
256,2020-10-30T11:55:09-07:00,0.015,0,0.052
257,2020-10-30T11:55:10-07:00,0.016,0,0.048
258,2020-10-30T11:55:11-07:00,0.014,0,0.03
259,2020-10-30T11:55:12-07:00,0.014,0,0.039
260,2020-10-30T11:55:13-07:00,0.037,0,0.039
261,2020-10-30T11:55:14-07:00,0.031,0,0.039
262,2020-10-30T11:55:15-07:00,0.051,0,0.092
263,2020-10-30T11:55:16-07:00,0.045,0,0.038
264,2020-10-30T11:55:17-07:00,0.016,0,1.81
265,2020-10-30T11:55:18-07:00,0.015,0,0.052
266,2020-10-30T11:55:19-07:00,0.015,0,0.035
267,2020-10-30T11:55:20-07:00,0.031,0,0.046
268,2020-10-30T11:55:21-07:00,0.016,0,0.038
269,2020-10-30T11:55:22-07:00,0.015,0,0.043
270,2020-10-30T11:55:23-07:00,0.046,0,0.042
271,2020-10-30T11:55:24-07:00,0.019,0,0.042
272,2020-10-30T11:55:25-07:00,0.068,0,0.05
273,2020-10-30T11:55:26-07:00,0.029,0,0.036
274,2020-10-30T11:55:27-07:00,0.019,0,0.037
275,2020-10-30T11:55:28-07:00,17.658,0,345.315
276,2020-10-30T11:55:29-07:00,111.249,0,637.47
277,2020-10-30T11:55:30-07:00,72.279,0,664.686
278,2020-10-30T11:55:31-07:00,68.194,0,317.33
279,2020-10-30T11:55:32-07:00,9.888,0,58.255
280,2020-10-30T11:55:33-07:00,0.017,0,0.045
281,2020-10-30T11:55:34-07:00,0.014,0,0.063
282,2020-10-30T11:55:35-07:00,0.02,0,0.042
283,2020-10-30T11:55:36-07:00,0.015,0,0.054
284,2020-10-30T11:55:37-07:00,0.015,0,0.053
285,2020-10-30T11:55:38-07:00,0.044,0,0.043
286,2020-10-30T11:55:39-07:00,0.016,0,0.073
287,2020-10-30T11:55:40-07:00,0.016,0,0.038
288,2020-10-30T11:55:41-07:00,0.016,0,0.054
289,2020-10-30T11:55:42-07:00,0.016,0,0.054
290,2020-10-30T11:55:43-07:00,0.028,0,0.056
291,2020-10-30T11:55:44-07:00,0.021,0,0.067
292,2020-10-30T11:55:45-07:00,0.022,0,0.047
293,2020-10-30T11:55:46-07:00,0.018,0,0.056
294,2020-10-30T11:55:47-07:00,0.015,0,0.039
295,2020-10-30T11:55:48-07:00,0.03,0,0.04
296,2020-10-30T11:55:49-07:00,0.045,0,0.058
297,2020-10-30T11:55:50-07:00,0.016,0,0.044
298,2020-10-30T11:55:51-07:00,0.049,0,0.038
299,2020-10-30T11:55:52-07:00,0.014,0,0.04
300,2020-10-30T11:55:53-07:00,0.02,0,0.065
301,2020-10-30T11:55:54-07:00,0.015,0,0.047
302,2020-10-30T11:55:55-07:00,0.034,0,0.045
303,2020-10-30T11:55:56-07:00,0.014,0,0.044
304,2020-10-30T11:55:57-07:00,0.014,0,0.032
305,2020-10-30T11:55:58-07:00,0.083,0,0.049
306,2020-10-30T11:55:59-07:00,0.033,0,0.047
307,2020-10-30T11:56:00-07:00,0.015,0,0.032
308,2020-10-30T11:56:01-07:00,0.015,0,0.038
309,2020-10-30T11:56:02-07:00,0,0,0.032
310,2020-10-30T11:56:03-07:00,0.016,0,0.068
311,2020-10-30T11:56:04-07:00,0.016,0,0.035
312,2020-10-30T11:56:05-07:00,0.027,0,0.043
313,2020-10-30T11:56:06-07:00,0.013,0,0.067
314,2020-10-30T11:56:07-07:00,0.075,0,0.063
315,2020-10-30T11:56:08-07:00,0.079,0,0.048
316,2020-10-30T11:56:09-07:00,0.016,0,0.056
317,2020-10-30T11:56:10-07:00,0.016,0,0.053
318,2020-10-30T11:56:11-07:00,0.016,0,0.055
319,2020-10-30T11:56:12-07:00,0,0,0.053
320,2020-10-30T11:56:13-07:00,0.02,0,0.061
321,2020-10-30T11:56:14-07:00,0.018,0,0.059
322,2020-10-30T11:56:15-07:00,0.018,0,0.088
323,2020-10-30T11:56:16-07:00,0.043,0,0.051
324,2020-10-30T11:56:17-07:00,0.043,0,0.048
325,2020-10-30T11:56:18-07:00,0.014,0,0.051
326,2020-10-30T11:56:19-07:00,0.016,0,0.038
327,2020-10-30T11:56:20-07:00,0.038,0,0.038
328,2020-10-30T11:56:21-07:00,0.015,0,0.034
329,2020-10-30T11:56:22-07:00,0.015,0,1.738
330,2020-10-30T11:56:23-07:00,0.018,0,0.053
331,2020-10-30T11:56:24-07:00,0.042,0,0.055
332,2020-10-30T11:56:25-07:00,0.027,0,0.034
333,2020-10-30T11:56:26-07:00,0.027,0,0.042
334,2020-10-30T11:56:27-07:00,0,0,0.066
335,2020-10-30T11:56:28-07:00,16.513,0,329.61
336,2020-10-30T11:56:29-07:00,90.781,0,651.929
337,2020-10-30T11:56:30-07:00,90.346,0,723.096
338,2020-10-30T11:56:31-07:00,87.929,0,348.622
339,2020-10-30T11:56:32-07:00,6.856,0,157.816
340,2020-10-30T11:56:33-07:00,6.856,0,121.58
341,2020-10-30T11:56:34-07:00,0.015,0,49.888
342,2020-10-30T11:56:35-07:00,0.015,0,0.04
343,2020-10-30T11:56:36-07:00,0,0,0.035
344,2020-10-30T11:56:37-07:00,0,0,0.065
345,2020-10-30T11:56:38-07:00,0,0,0.074
346,2020-10-30T11:56:39-07:00,0,0,0.031
347,2020-10-30T11:56:40-07:00,0.066,0,0.036
348,2020-10-30T11:56:41-07:00,0,0,0.037
349,2020-10-30T11:56:42-07:00,0,0,0.045
350,2020-10-30T11:56:43-07:00,0,0,0.033
351,2020-10-30T11:56:44-07:00,0.047,0,0.042
352,2020-10-30T11:56:45-07:00,0.031,0,0.032
353,2020-10-30T11:56:46-07:00,0.074,0,0.041
354,2020-10-30T11:56:47-07:00,0.074,0,0.035
355,2020-10-30T11:56:48-07:00,0.017,0,0.037
356,2020-10-30T11:56:49-07:00,0.018,0,0.036
