Time,Hour,BE,STA 2
399,2020-10-30T11:57:32-07:00,1.647704481,0.004772205
400,2020-10-30T11:57:33-07:00,1.630086256,0.004633226
401,2020-10-30T11:57:34-07:00,1.603522043,0.00464115
402,2020-10-30T11:57:35-07:00,1.006488913,0.004834117
403,2020-10-30T11:57:36-07:00,1.013450698,0.004667503
404,2020-10-30T11:57:37-07:00,1.034162918,0.004982793
405,2020-10-30T11:57:38-07:00,0.985000895,0.004751779
406,2020-10-30T11:57:39-07:00,1.017604058,0.004774838
407,2020-10-30T11:57:40-07:00,1.009602221,0.004771481
408,2020-10-30T11:57:41-07:00,1.007361725,0.004730561
409,2020-10-30T11:57:42-07:00,1.009826591,0.004776056
410,2020-10-30T11:57:43-07:00,1.01244335,0.004671319
411,2020-10-30T11:57:44-07:00,1.013710699,0.004514812
412,2020-10-30T11:57:45-07:00,1.11413972,0.00494797
413,2020-10-30T11:57:46-07:00,1.101212608,0.004742234
414,2020-10-30T11:57:47-07:00,1.114312452,0.004671029
415,2020-10-30T11:57:48-07:00,1.119901364,0.004807816
416,2020-10-30T11:57:49-07:00,1.10800967,0.004575695
417,2020-10-30T11:57:50-07:00,1.109738041,0.004797443
418,2020-10-30T11:57:51-07:00,1.111445859,0.00472067
419,2020-10-30T11:57:52-07:00,1.101577775,0.004770657
420,2020-10-30T11:57:53-07:00,1.112296373,0.004669368
421,2020-10-30T11:57:54-07:00,1.116451537,0.004911791
422,2020-10-30T11:57:55-07:00,1.23807327,0.004907054
423,2020-10-30T11:57:56-07:00,1.214127284,0.004666837
424,2020-10-30T11:57:57-07:00,1.223795452,0.004770791
425,2020-10-30T11:57:58-07:00,1.198521395,0.004581342
426,2020-10-30T11:57:59-07:00,1.193697177,0.004417123
427,2020-10-30T11:58:00-07:00,1.307209715,0.005389801
428,2020-10-30T11:58:01-07:00,1.222794578,0.004753898
429,2020-10-30T11:58:02-07:00,1.140482839,0.004124598
430,2020-10-30T11:58:03-07:00,1.230538602,0.004539885
431,2020-10-30T11:58:04-07:00,1.278225517,0.005049226
432,2020-10-30T11:58:05-07:00,1.354648061,0.004997371
433,2020-10-30T11:58:06-07:00,1.34934986,0.004803564
434,2020-10-30T11:58:07-07:00,1.312535762,0.004387439
435,2020-10-30T11:58:08-07:00,1.325158808,0.004951127
436,2020-10-30T11:58:09-07:00,1.389918233,0.004602317
437,2020-10-30T11:58:10-07:00,1.353531992,0.005161772
438,2020-10-30T11:58:11-07:00,1.311044707,0.004270108
439,2020-10-30T11:58:12-07:00,1.387263884,0.004970239
440,2020-10-30T11:58:13-07:00,1.294180774,0.004739548
441,2020-10-30T11:58:14-07:00,1.330778242,0.004212901
442,2020-10-30T11:58:15-07:00,1.557862153,0.00553325
443,2020-10-30T11:58:16-07:00,1.473822342,0.004686467
444,2020-10-30T11:58:17-07:00,1.482970509,0.004772055
445,2020-10-30T11:58:18-07:00,1.477105199,0.004729463
446,2020-10-30T11:58:19-07:00,1.482621909,0.00468647
447,2020-10-30T11:58:20-07:00,1.469085603,0.004694194
448,2020-10-30T11:58:21-07:00,1.484822049,0.004811073
449,2020-10-30T11:58:22-07:00,1.462323777,0.004622725
450,2020-10-30T11:58:23-07:00,1.493519168,0.005060959
451,2020-10-30T11:58:24-07:00,1.489671915,0.004598931
452,2020-10-30T11:58:25-07:00,1.60953783,0.004886256
453,2020-10-30T11:58:26-07:00,1.641591036,0.004790326
454,2020-10-30T11:58:27-07:00,1.62244597,0.004724998
455,2020-10-30T11:58:28-07:00,1.612378642,0.004623067
456,2020-10-30T11:58:29-07:00,1.640690162,0.004682845
457,2020-10-30T11:58:30-07:00,1.621651499,0.004748055
458,2020-10-30T11:58:31-07:00,1.629281673,0.004796925
