Time,Hour,0x00,0x01,QoS
220,2020-10-30T11:54:33-07:00,0.004864,0,21.844768
221,2020-10-30T11:54:34-07:00,0.009136,0,23.223616
222,2020-10-30T11:54:35-07:00,0.005488,0,19.711456
223,2020-10-30T11:54:36-07:00,0.004864,0,21.836096
224,2020-10-30T11:54:37-07:00,0.004864,0,19.919584
225,2020-10-30T11:54:38-07:00,0.004864,0,21.697344
226,2020-10-30T11:54:39-07:00,0.005488,0,19.147776
227,2020-10-30T11:54:40-07:00,0.004864,0,21.281088
228,2020-10-30T11:54:41-07:00,0.004864,0,21.2464
229,2020-10-30T11:54:42-07:00,0.004864,0,20.63936
230,2020-10-30T11:54:43-07:00,0.004864,0,21.523904
231,2020-10-30T11:54:44-07:00,0.008528,0,19.77216
232,2020-10-30T11:54:45-07:00,0.006112,0,21.471872
233,2020-10-30T11:54:46-07:00,0.004864,0,20.3792
234,2020-10-30T11:54:47-07:00,0.004864,0,20.8128
235,2020-10-30T11:54:48-07:00,0.004864,0,21.33312
236,2020-10-30T11:54:49-07:00,0.004864,0,21.428512
237,2020-10-30T11:54:50-07:00,0.004864,0,20.500608
238,2020-10-30T11:54:51-07:00,0.004864,0,20.517952
239,2020-10-30T11:54:52-07:00,0.004864,0,19.061056
240,2020-10-30T11:54:53-07:00,0.004864,0,21.220384
241,2020-10-30T11:54:54-07:00,0.009232,0,20.604672
242,2020-10-30T11:54:55-07:00,0.005488,0,21.107648
243,2020-10-30T11:54:56-07:00,0.004864,0,20.700064
244,2020-10-30T11:54:57-07:00,0.004864,0,20.257792
245,2020-10-30T11:54:58-07:00,0.004864,0,20.569984
246,2020-10-30T11:54:59-07:00,0.004864,0,21.124992
247,2020-10-30T11:55:00-07:00,0.004864,0,20.98624
248,2020-10-30T11:55:01-07:00,0.004864,0,21.272416
249,2020-10-30T11:55:02-07:00,0.005488,0,20.29248
250,2020-10-30T11:55:03-07:00,0.004864,0,20.873504
251,2020-10-30T11:55:04-07:00,0.008608,0,21.688672
252,2020-10-30T11:55:05-07:00,0.005536,0,19.919584
253,2020-10-30T11:55:06-07:00,0.004864,0,20.33584
254,2020-10-30T11:55:07-07:00,0.005488,0,21.72336
255,2020-10-30T11:55:08-07:00,0.004864,0,22.139616
256,2020-10-30T11:55:09-07:00,0.004864,0,20.07568
257,2020-10-30T11:55:10-07:00,0.004864,0,20.127712
258,2020-10-30T11:55:11-07:00,0.004864,0,21.671328
259,2020-10-30T11:55:12-07:00,0.004864,0,20.33584
260,2020-10-30T11:55:13-07:00,0.004864,0,20.153728
261,2020-10-30T11:55:14-07:00,0.009848,0,21.8968
262,2020-10-30T11:55:15-07:00,0.004864,0,20.717408
263,2020-10-30T11:55:16-07:00,0.004864,0,21.862112
264,2020-10-30T11:55:17-07:00,0.004864,0,19.676768
265,2020-10-30T11:55:18-07:00,0.004864,0,20.101696
