Time;Other;0x00;0x01;0x02;0x03;0x08;0x20
281;22:41:10;0;423.404;0;0;0;581.879
282;22:41:11;240.019;461.273;0;0;0;406.315
283;22:41:12;252.454;494.6;0;0;0;295.911
284;22:41:13;223.897;468.08;0;0;0;440.367
285;22:41:14;220.275;311.676;0;0;0;359.12
286;22:41:15;153.331;264.36;0;0;0;394.651
287;22:41:16;0;335.25;0;0;0;504.935
288;22:41:17;100.67;279.803;0;0;0;302.206
289;22:41:18;321.314;0;0;0;0;134.913
290;22:41:19;252.628;433.446;0;0;0;181.963
291;22:41:20;210.437;251.807;0;0;0;233.155
292;22:41:21;0;289.796;0;0;0;215.467
293;22:41:22;273.284;359.903;0;0;0;497.775
294;22:41:23;264.653;349.41;0;0;0;542.124
295;22:41:24;184.814;316.548;0;0;0;531.94
296;22:41:25;258.996;397.638;0;0;0;636.903
297;22:41:26;0;378.233;0;0;0;798.693
298;22:41:27;258.996;378.233;0;0;0;798.693
299;22:41:28;213.32;518.014;0;0;0;884.334
300;22:41:29;44.151;0;0;0;0;609.97
;;;;;;;
