Time;Hour;0x02;0x03;QoS 1;BE 3;BE 4;0x00;0x01
348;2020-11-23T17:55:42+01:00;null;0;3.043872;null;2.3848000000000003;0.017072;0
349;2020-11-23T17:55:43+01:00;0;0;3.3300479999999997;null;2.6016;0.016448;0
350;2020-11-23T17:55:44+01:00;null;0;2.7403519999999997;null;2.376128;0.015519999999999999;null
351;2020-11-23T17:55:45+01:00;0;0;2.835744;null;2.610272;null;0
352;2020-11-23T17:55:46+01:00;0;0;2.77504;null;2.766368;0.016448;0
353;2020-11-23T17:55:47+01:00;null;null;2.454176;null;2.462848;null;null
354;2020-11-23T17:55:48+01:00;0;0;2.29808;null;2.94848;0.016448;0
355;2020-11-23T17:55:49+01:00;null;null;null;null;null;0.016448;0
356;2020-11-23T17:55:50+01:00;0;0;null;null;null;0.015519999999999999;0
357;2020-11-23T17:55:51+01:00;0;0;null;null;null;0.015519999999999999;0
358;2020-11-23T17:55:52+01:00;0;0;null;null;null;0.010656;0
359;2020-11-23T17:55:53+01:00;0;0;null;null;null;0;0
360;2020-11-23T17:55:54+01:00;0;0;null;null;null;0;0
361;2020-11-23T17:55:55+01:00;0;0;null;null;null;0;0
362;2020-11-23T17:55:56+01:00;0;0;null;null;null;0;0
363;2020-11-23T17:55:57+01:00;0;0;null;null;null;0;0
364;2020-11-23T17:55:58+01:00;0;0;null;null;null;0;0
365;2020-11-23T17:55:59+01:00;0;0;null;null;null;0;0
366;2020-11-23T17:56:00+01:00;0;0;null;null;null;0;0
367;2020-11-23T17:56:01+01:00;0;0;null;null;null;0;0
368;2020-11-23T17:56:02+01:00;0;0;null;null;null;0;0
369;2020-11-23T17:56:03+01:00;0;0;null;null;null;0;0
370;2020-11-23T17:56:04+01:00;0;0;null;null;null;0;0
371;2020-11-23T17:56:05+01:00;0;0;null;null;null;0;0
372;2020-11-23T17:56:06+01:00;0;0;null;null;null;0;0
373;2020-11-23T17:56:07+01:00;0;0;null;null;null;0;0
374;2020-11-23T17:56:08+01:00;0;0;null;null;null;0;0
375;2020-11-23T17:56:09+01:00;0;0;null;null;null;0;0
376;2020-11-23T17:56:10+01:00;0;0;null;null;null;0;0
377;2020-11-23T17:56:11+01:00;0;0;null;null;null;0;0
378;2020-11-23T17:56:12+01:00;0;0;null;null;null;0;0
379;2020-11-23T17:56:13+01:00;0;0;null;null;null;0;0
380;2020-11-23T17:56:14+01:00;0;0;null;null;null;0;0
381;2020-11-23T17:56:15+01:00;0;0;null;null;null;0;0
382;2020-11-23T17:56:16+01:00;0;0;null;null;null;0;0
383;2020-11-23T17:56:17+01:00;0;0;null;null;null;0;0
384;2020-11-23T17:56:18+01:00;0;0;null;null;null;0;0
385;2020-11-23T17:56:19+01:00;0;0;null;null;null;0;0
386;2020-11-23T17:56:20+01:00;0;0;null;null;null;0;0
387;2020-11-23T17:56:21+01:00;0;0;null;null;null;0;0
388;2020-11-23T17:56:22+01:00;0;0;null;null;null;0;0
389;2020-11-23T17:56:23+01:00;0;0;null;null;null;0;0
