sep=;
"Time";"APP: 3 - Node: 11";"APP: 3 - Node: 8860215";"APP: 4 - Node: 11880865";"APP: 4 - Node: 12";"APP: 2 - Node: 13";"APP: 2 - Node: 8860310";"APP: 1 - Node: 11879605";"APP: 1 - Node: 13"
"2020-10-09T12:38:07+02:00";null;null;null;null;34;47;null;null
"2020-10-09T12:38:08+02:00";null;null;86;23;null;null;null;null
"2020-10-09T12:38:10+02:00";null;117;null;null;null;null;null;null
"2020-10-09T12:38:11+02:00";25;null;null;null;null;null;115;23
"2020-10-09T12:38:12+02:00";null;null;null;null;1970;48;null;null
"2020-10-09T12:38:13+02:00";null;null;59;67;null;null;null;null
"2020-10-09T12:38:15+02:00";null;null;null;null;null;null;51;null
"2020-10-09T12:38:16+02:00";41;121;null;null;null;52;null;27
"2020-10-09T12:38:17+02:00";null;null;null;null;21;null;null;null
"2020-10-09T12:38:18+02:00";null;null;87;23;null;null;null;null
"2020-10-09T12:38:21+02:00";24;106;null;null;null;54;46;1182
"2020-10-09T12:38:22+02:00";null;null;null;null;22;null;null;null
"2020-10-09T12:38:23+02:00";null;null;76;63;null;null;null;null
"2020-10-09T12:38:25+02:00";null;null;null;null;null;null;129;null
"2020-10-09T12:38:26+02:00";51;113;null;null;null;null;null;22
"2020-10-09T12:38:27+02:00";null;null;null;null;22;54;null;null
"2020-10-09T12:38:28+02:00";null;null;74;65;null;null;null;null
"2020-10-09T12:38:30+02:00";null;null;null;null;null;null;47;77
"2020-10-09T12:38:31+02:00";37;100;null;null;null;47;null;null
"2020-10-09T12:38:32+02:00";null;null;null;null;41;null;null;null
"2020-10-09T12:38:33+02:00";null;null;63;36;null;null;null;null
"2020-10-09T12:38:35+02:00";null;null;null;null;null;null;46;null
"2020-10-09T12:38:36+02:00";38;122;null;null;null;47;null;94
"2020-10-09T12:38:37+02:00";null;null;null;null;35;null;null;null
"2020-10-09T12:38:38+02:00";null;null;96;55;null;null;null;null
"2020-10-09T12:38:40+02:00";null;null;null;null;null;null;47;null
"2020-10-09T12:38:41+02:00";28;96;null;null;null;null;null;23
"2020-10-09T12:38:42+02:00";null;null;null;null;1877;49;null;null
"2020-10-09T12:38:43+02:00";null;null;76;23;null;null;null;null
"2020-10-09T12:38:45+02:00";null;null;null;null;null;null;223;null
"2020-10-09T12:38:46+02:00";92;123;null;null;53;47;null;70
"2020-10-09T12:38:48+02:00";null;null;92;26;null;null;null;null
"2020-10-09T12:38:50+02:00";null;null;null;null;null;null;55;null
"2020-10-09T12:38:51+02:00";29;94;null;null;null;null;null;51
"2020-10-09T12:38:52+02:00";null;null;null;null;74;50;null;null
"2020-10-09T12:38:53+02:00";null;null;74;65;null;null;null;null
"2020-10-09T12:38:56+02:00";64;3524;null;null;null;null;68;78
"2020-10-09T12:38:57+02:00";null;null;null;null;69;50;null;null
"2020-10-09T12:38:58+02:00";null;null;71;23;null;null;null;null
"2020-10-09T12:39:00+02:00";null;null;null;null;null;null;104;95
"2020-10-09T12:39:01+02:00";29;6671;63;56;27;65;null;null
"2020-10-09T12:39:05+02:00";null;null;null;null;null;null;62;null
"2020-10-09T12:39:06+02:00";66;98;88;24;null;null;null;65
"2020-10-09T12:39:07+02:00";null;null;null;null;88;68;null;null
