sep=;
"Time";"0x00";"0x1A";"0x20";"0x30"
"2020-09-16T11:36:48+02:00";12000;12000;12000;12000
"2020-09-16T11:36:49+02:00";12000;12000;12000;12000
"2020-09-16T11:36:50+02:00";12000;12000;12000;12000
"2020-09-16T11:36:51+02:00";12000;12000;12000;null
"2020-09-16T11:36:52+02:00";12000;12000;12000;12000
"2020-09-16T11:36:53+02:00";12000;12000;12000;12000
"2020-09-16T11:36:54+02:00";12000;12000;12000;12000
"2020-09-16T11:36:55+02:00";12000;12000;12000;12000
"2020-09-16T11:36:56+02:00";12000;12000;12000;12000
"2020-09-16T11:36:57+02:00";12000;12000;12000;12000
"2020-09-16T11:36:58+02:00";12000;12000;12000;12000
"2020-09-16T11:36:59+02:00";12000;12000;12000;12000
"2020-09-16T11:37:00+02:00";12000;12000;12000;12000
"2020-09-16T11:37:01+02:00";12000;12000;12000;null
"2020-09-16T11:37:02+02:00";12000;12000;12000;12000
"2020-09-16T11:37:03+02:00";12000;12000;12000;12000
"2020-09-16T11:37:04+02:00";12000;12000;12000;12000
"2020-09-16T11:37:05+02:00";12000;12000;12000;12000
"2020-09-16T11:37:06+02:00";12000;12000;12000;12000
"2020-09-16T11:37:07+02:00";12000;12000;12000;12000
"2020-09-16T11:37:08+02:00";12000;12000;12000;12000
"2020-09-16T11:37:09+02:00";12000;12000;12000;12000
"2020-09-16T11:37:10+02:00";12000;12000;12000;null
"2020-09-16T11:37:11+02:00";12000;12000;12000;12000
"2020-09-16T11:37:12+02:00";12000;12000;12000;12000
"2020-09-16T11:37:13+02:00";12000;12000;12000;12000
"2020-09-16T11:37:14+02:00";12000;12000;12000;12000
"2020-09-16T11:37:16+02:00";12000;12000;12000;12000
"2020-09-16T11:37:17+02:00";12000;12000;12000;12000
"2020-09-16T11:37:18+02:00";12000;12000;12000;12000
"2020-09-16T11:37:19+02:00";12000;12000;12000;12000
"2020-09-16T11:37:20+02:00";12000;12000;12000;12000
"2020-09-16T11:37:21+02:00";12000;12000;12000;12000
"2020-09-16T11:37:22+02:00";12000;12000;12000;12000
"2020-09-16T11:37:23+02:00";12000;12000;12000;12000
"2020-09-16T11:37:24+02:00";12000;12000;12000;12000
