Time;Datetime;Slice (control);Slice (APP 3);Slice (APP 1);Slice (APP 2)
192;2020-10-09T12:41:11+02:00;0.001872;0.000928;0.0;0.0
193;2020-10-09T12:41:12+02:00;0.004752;0.000928;0.0;0.0
194;2020-10-09T12:41:13+02:00;0.003872;0.0;0.0;0.0
195;2020-10-09T12:41:14+02:00;0.004768;0.000928;0.0;0.0
196;2020-10-09T12:41:15+02:00;0.005808;0.000928;0.0;0.0
197;2020-10-09T12:41:16+02:00;0.005679999999999999;0.000928;0.0;0.0
198;2020-10-09T12:41:17+02:00;0.004992;0.000928;0.0;0.0
199;2020-10-09T12:41:18+02:00;0.0070560000000000015;0.0;0.0;0.0
200;2020-10-09T12:41:19+02:00;0.00576;0.000928;0.0;0.0
201;2020-10-09T12:41:20+02:00;0.004992;0.0;0.0;0.0
202;2020-10-09T12:41:21+02:00;0.005679999999999999;0.000928;0.0;0.0
203;2020-10-09T12:41:22+02:00;0.00624;0.000928;0.0;0.0
204;2020-10-09T12:41:23+02:00;0.004992;0.000928;0.0;0.0
205;2020-10-09T12:41:24+02:00;0.006368;0.0;0.0;0.0
206;2020-10-09T12:41:25+02:00;0.003744;0.000928;0.0;0.0
207;2020-10-09T12:41:26+02:00;0.00624;0.000928;0.0;0.0
208;2020-10-09T12:41:27+02:00;0.002496;0.000928;0.0;0.0
209;2020-10-09T12:41:28+02:00;0.005679999999999999;0.000928;0.0;0.0
210;2020-10-09T12:41:29+02:00;0.006368;0.0;0.0;0.0
211;2020-10-09T12:41:30+02:00;0.004992;0.000928;0.0;0.0
212;2020-10-09T12:41:31+02:00;0.00624;0.000928;0.0;0.0
213;2020-10-09T12:41:32+02:00;0.004992;0.000928;0.0;0.0
214;2020-10-09T12:41:33+02:00;0.00624;0.000928;0.0;0.0
215;2020-10-09T12:41:34+02:00;0.008864;0.0;0.0;0.0
216;2020-10-09T12:41:35+02:00;0.007488000000000002;0.000928;0.0;0.0
217;2020-10-09T12:41:36+02:00;0.00624;0.000928;0.0;null
218;2020-10-09T12:41:37+02:00;0.004992;0.000928;0.0;0.0
219;2020-10-09T12:41:38+02:00;0.004992;0.000928;0.0;0.0
220;2020-10-09T12:41:39+02:00;0.007615999999999999;0.0;0.0;0.0
221;2020-10-09T12:41:40+02:00;0.007488000000000002;0.000928;0.0;0.0
222;2020-10-09T12:41:41+02:00;0.0070560000000000015;0.0;0.0;0.0
223;2020-10-09T12:41:42+02:00;0.007488000000000002;0.000928;0.0;0.0
224;2020-10-09T12:41:43+02:00;0.008256;0.000928;0.0;0.0
225;2020-10-09T12:41:44+02:00;0.00624;0.000928;0.0;0.0
226;2020-10-09T12:41:45+02:00;0.00624;0.000928;0.0;0.0
227;2020-10-09T12:41:46+02:00;0.006368;0.0;0.0;0.0
228;2020-10-09T12:41:47+02:00;0.004992;0.000928;0.0;0.0
229;2020-10-09T12:41:48+02:00;0.007488000000000002;0.000928;0.0;0.0
230;2020-10-09T12:41:49+02:00;0.004992;0.000928;0.0;0.0
231;2020-10-09T12:41:50+02:00;0.004992;0.000928;0.0;0.0
232;2020-10-09T12:41:51+02:00;0.007615999999999999;0.0;0.0;0.0
233;2020-10-09T12:41:52+02:00;0.004992;0.000928;0.0;0.0
234;2020-10-09T12:41:53+02:00;0.004992;0.000928;0.0;0.0
235;2020-10-09T12:41:54+02:00;0.007488000000000002;0.000928;0.0;0.0
236;2020-10-09T12:41:55+02:00;0.004992;0.000928;0.0;0.0
237;2020-10-09T12:41:56+02:00;0.006368;0.0;0.0;0.0
238;2020-10-09T12:41:57+02:00;0.005392;0.000928;0.0;0.0
239;2020-10-09T12:41:58+02:00;0.008896000000000001;0.000928;0.0;0.0
240;2020-10-09T12:41:59+02:00;0.002496;0.000928;0.0;0.0
241;2020-10-09T12:42:00+02:00;0.002496;0.000928;0.0;0.0
242;2020-10-09T12:42:01+02:00;0.003872;0.0;0.0;0.0
243;2020-10-09T12:42:02+02:00;0.002496;0.000928;0.0;0.0
244;2020-10-09T12:42:03+02:00;0.00312;0.0;0.0;0.0
245;2020-10-09T12:42:04+02:00;0.004368;0.000928;0.0;0.0
246;2020-10-09T12:42:05+02:00;0.005056000000000001;0.000928;0.0;0.0
247;2020-10-09T12:42:06+02:00;0.003744;0.000928;0.0;0.0
248;2020-10-09T12:42:07+02:00;0.00512;0.0;0.0;0.0
249;2020-10-09T12:42:08+02:00;0.005679999999999999;0.000928;0.0;0.0
250;2020-10-09T12:42:09+02:00;0.003744;0.000928;0.0;0.0
251;2020-10-09T12:42:10+02:00;0.005952000000000001;0.002784;0.0;0.0
252;2020-10-09T12:42:11+02:00;0.007615999999999999;0.003712;0.0;null
253;2020-10-09T12:42:12+02:00;0.006288;null;null;0.0
254;2020-10-09T12:42:13+02:00;0.002496;0.0;0.0;0.0
255;2020-10-09T12:42:14+02:00;0.001248;0.003712;0.0;0.0
256;2020-10-09T12:42:15+02:00;0.0050880000000000005;0.002784;0.0;0.0
257;2020-10-09T12:42:16+02:00;0.009215999999999998;0.002784;0.0;null
258;2020-10-09T12:42:17+02:00;0.014576;0.000928;0.0;0.0
259;2020-10-09T12:42:18+02:00;0.003744;0.002784;0.0;0.0
260;2020-10-09T12:42:19+02:00;0.001248;0.002784;0.0;0.0
261;2020-10-09T12:42:20+02:00;0.001248;0.002784;0.0;0.0
262;2020-10-09T12:42:21+02:00;0.001248;0.002784;0.0;0.0
263;2020-10-09T12:42:22+02:00;0.006704000000000001;0.000928;0.0;0.0
264;2020-10-09T12:42:23+02:00;0.001248;0.002784;0.0;0.0
265;2020-10-09T12:42:24+02:00;0.001248;0.002784;0.0;0.0
266;2020-10-09T12:42:25+02:00;0.002496;0.002784;0.0;0.0
267;2020-10-09T12:42:26+02:00;0.001248;0.002784;0.0;0.0
268;2020-10-09T12:42:27+02:00;0.006704000000000001;0.001968;0.0;0.0
269;2020-10-09T12:42:28+02:00;0.001248;0.002784;0.0;0.0
270;2020-10-09T12:42:29+02:00;0.001248;0.002784;0.0;0.0
271;2020-10-09T12:42:30+02:00;0.001248;0.002784;0.0;0.0
272;2020-10-09T12:42:31+02:00;0.001248;0.003824;0.0;0.0
273;2020-10-09T12:42:32+02:00;0.006704000000000001;0.000928;0.0;0.0
274;2020-10-09T12:42:33+02:00;0.001248;0.002784;0.0;0.0
275;2020-10-09T12:42:34+02:00;0.002496;0.002784;0.0;0.0
276;2020-10-09T12:42:35+02:00;0.001248;0.002784;0.0;0.0
277;2020-10-09T12:42:36+02:00;0.001248;0.002784;0.0;0.0
278;2020-10-09T12:42:37+02:00;0.00608;0.001968;0.0;0.0
279;2020-10-09T12:42:38+02:00;0.001248;0.002784;0.0;0.0
280;2020-10-09T12:42:39+02:00;0.001248;0.003712;0.0;0.0
281;2020-10-09T12:42:40+02:00;0.001248;0.002784;0.0;0.0
282;2020-10-09T12:42:41+02:00;0.001248;0.003824;0.0;0.0
283;2020-10-09T12:42:42+02:00;0.006704000000000001;0.000928;0.0;0.0
284;2020-10-09T12:42:43+02:00;0.001248;0.002784;0.0;0.0
285;2020-10-09T12:42:44+02:00;0.002496;0.002784;0.0;0.0
286;2020-10-09T12:42:45+02:00;0.001248;0.002784;0.0;0.0
287;2020-10-09T12:42:46+02:00;0.001248;0.006856;0.0;0.0
288;2020-10-09T12:42:47+02:00;0.006704000000000001;0.000928;0.0;0.0
289;2020-10-09T12:42:48+02:00;0.002496;0.002784;null;null
290;2020-10-09T12:42:49+02:00;0.001248;0.002784;0.0;0.0
291;2020-10-09T12:42:50+02:00;0.003744;0.002784;0.0;0.0
292;2020-10-09T12:42:51+02:00;0.001248;0.002784;0.0;0.0
293;2020-10-09T12:42:52+02:00;0.0092;0.00396;0.0;0.0
294;2020-10-09T12:42:53+02:00;0.002496;0.002784;0.0;0.0
295;2020-10-09T12:42:54+02:00;0.002496;0.002784;0.0;0.0
296;2020-10-09T12:42:55+02:00;0.001248;0.002784;0.0;0.0
297;2020-10-09T12:42:56+02:00;0.001248;0.002784;0.0;0.0
298;2020-10-09T12:42:57+02:00;0.010352;0.00396;0.0;0.0
299;2020-10-09T12:42:58+02:00;0.001248;0.002784;0.0;0.0
300;2020-10-09T12:42:59+02:00;0.001248;0.002784;0.0;0.0
