Time,Hour,STA 1,STA 2
570,1604083156,11,0
571,1604083157,15,0
572,1604083158,9,0
573,1604083159,9,0
574,1604083160,9,0
575,1604083161,11,0
576,1604083162,9,0
577,1604083163,7,0
578,1604083164,5,0
579,1604083165,8,0
580,1604083166,10,0
581,1604083167,9,0
582,1604083168,9,0
583,1604083169,10,0
584,1604083170,12,0
585,1604083171,12,0
586,1604083172,9,0
587,1604083173,4,0
588,1604083174,8,0
589,1604083175,5,0
590,1604083176,4,0
591,1604083177,12,0
592,1604083178,10,0
593,1604083179,13,0
594,1604083180,9,0
595,1604083181,10,0
596,1604083182,8,0
597,1604083183,9,0
598,1604083184,5,0
599,1604083185,2,0
600,1604083186,5,0
601,1604083187,1,0
602,1604083188,12,0
603,1604083189,4,0
604,1604083190,0,0
605,1604083191,0,0
606,1604083192,0,0
607,1604083193,0,0
608,1604083194,0,0
609,1604083195,0,0
610,1604083196,0,0
611,1604083197,0,0
612,1604083198,0,0
613,1604083199,0,0
,,,0
,,,0
,,,0
,,,0
