Time,Hour,STA 2,STA 1
217,2020-10-30T12:05:35-07:00,12.80554015,0.008283421
218,2020-10-30T12:05:36-07:00,12.32768629,0
219,2020-10-30T12:05:37-07:00,13.18183276,0.004940212
220,2020-10-30T12:05:38-07:00,12.4054237,0.00462703
221,2020-10-30T12:05:39-07:00,13.26228805,0.004845188
222,2020-10-30T12:05:40-07:00,12.48206647,0.00824915
223,2020-10-30T12:05:41-07:00,12.10375501,0
224,2020-10-30T12:05:42-07:00,12.55215044,0.004947598
225,2020-10-30T12:05:43-07:00,11.61446116,0.00447664
226,2020-10-30T12:05:44-07:00,12.29121743,0.008928676
227,2020-10-30T12:05:45-07:00,12.1932622,0.004730925
228,2020-10-30T12:05:46-07:00,10.90883016,0
229,2020-10-30T12:05:47-07:00,12.75845715,0.005113516
230,2020-10-30T12:05:48-07:00,11.64688681,0.004597506
231,2020-10-30T12:05:49-07:00,11.74515733,0.004683952
232,2020-10-30T12:05:50-07:00,11.99153827,0.009523966
233,2020-10-30T12:05:51-07:00,11.59632905,0.000341397
234,2020-10-30T12:05:52-07:00,11.06930966,0.008992173
235,2020-10-30T12:05:53-07:00,11.23496149,0
236,2020-10-30T12:05:54-07:00,11.51136782,0.008831743
237,2020-10-30T12:05:55-07:00,11.34620591,0
238,2020-10-30T12:05:56-07:00,11.35588378,0.005103875
239,2020-10-30T12:05:57-07:00,11.07594307,0.004642895
240,2020-10-30T12:05:58-07:00,11.15837492,0.00476884
241,2020-10-30T12:05:59-07:00,10.06551836,0.00414985
242,2020-10-30T12:06:00-07:00,11.75302494,0.009786471
243,2020-10-30T12:06:01-07:00,10.83780138,0
244,2020-10-30T12:06:02-07:00,9.842145737,0.004395095
245,2020-10-30T12:06:03-07:00,10.90984106,0.010253683
246,2020-10-30T12:06:04-07:00,10.66812792,0.004596494
247,2020-10-30T12:06:05-07:00,10.78479963,0
248,2020-10-30T12:06:06-07:00,10.36523923,0.004557123
249,2020-10-30T12:06:07-07:00,10.04033823,0.008961302
250,2020-10-30T12:06:08-07:00,10.25668758,0.004807195
251,2020-10-30T12:06:09-07:00,10.36869489,0
252,2020-10-30T12:06:10-07:00,10.34540007,0.004641665
253,2020-10-30T12:06:11-07:00,9.578638555,0.004811028
254,2020-10-30T12:06:12-07:00,10.37817664,0.004597255
255,2020-10-30T12:06:13-07:00,9.436644167,0.009228923
256,2020-10-30T12:06:14-07:00,9.872260663,0.004674908
257,2020-10-30T12:06:15-07:00,9.391665326,0.004653897
258,2020-10-30T12:06:16-07:00,9.867905407,0
259,2020-10-30T12:06:17-07:00,4.523607821,0.004842086
260,2020-10-30T12:06:18-07:00,2.425610624,0.004629176
261,2020-10-30T12:06:19-07:00,2.181212113,0.004287245
262,2020-10-30T12:06:20-07:00,3.945408903,0.009689101
263,2020-10-30T12:06:21-07:00,14.06114043,0.004752645
264,2020-10-30T12:06:22-07:00,13.64022563,0.004738188
265,2020-10-30T12:06:23-07:00,13.85399006,0
266,2020-10-30T12:06:24-07:00,13.47160949,0.008824025
267,2020-10-30T12:06:25-07:00,14.07413235,0
268,2020-10-30T12:06:26-07:00,13.71455254,0.009145404
269,2020-10-30T12:06:27-07:00,8.766077125,0.004610421
270,2020-10-30T12:06:28-07:00,4.599387648,0
271,2020-10-30T12:06:29-07:00,3.34500011,0.004828032
272,2020-10-30T12:06:30-07:00,4.01231881,0.008825018
273,2020-10-30T12:06:31-07:00,11.79714872,0
274,2020-10-30T12:06:32-07:00,13.63007733,0.004858624
275,2020-10-30T12:06:33-07:00,13.12380829,0.004471533
276,2020-10-30T12:06:34-07:00,14.39731286,0.005345075
277,2020-10-30T12:06:35-07:00,12.86366,0.00439216
278,2020-10-30T12:06:36-07:00,13.42598442,0.004960264
279,2020-10-30T12:06:37-07:00,12.49811561,0.00437308
280,2020-10-30T12:06:38-07:00,13.14105788,0.009319379
281,2020-10-30T12:06:39-07:00,13.17569635,0
282,2020-10-30T12:06:40-07:00,13.12420869,0.008587434
283,2020-10-30T12:06:41-07:00,12.77275557,0
284,2020-10-30T12:06:42-07:00,12.07982593,0.00447814
285,2020-10-30T12:06:43-07:00,13.03487539,0.004679048
286,2020-10-30T12:06:44-07:00,11.73543905,0.004593414
287,2020-10-30T12:06:45-07:00,13.56641914,0.009642689
288,2020-10-30T12:06:46-07:00,12.36413831,0
289,2020-10-30T12:06:47-07:00,12.10423317,0.005016446
290,2020-10-30T12:06:48-07:00,12.08571171,0.004688033
291,2020-10-30T12:06:49-07:00,12.26036397,0.004568609
292,2020-10-30T12:06:50-07:00,11.8428592,0.004574539
293,2020-10-30T12:06:51-07:00,12.26966633,0.00480623
294,2020-10-30T12:06:52-07:00,11.9574755,0.004696804
295,2020-10-30T12:06:53-07:00,12.2334961,0.004986784
296,2020-10-30T12:06:54-07:00,11.72281346,0.00442265
297,2020-10-30T12:06:55-07:00,12.04570986,0.008838252
298,2020-10-30T12:06:56-07:00,10.98530306,0.000357017
299,2020-10-30T12:06:57-07:00,12.12347492,0.004879637
300,2020-10-30T12:06:58-07:00,11.21747741,0.004871304
301,2020-10-30T12:06:59-07:00,11.32901479,0.004558453
302,2020-10-30T12:07:00-07:00,11.77713712,0.004822956
303,2020-10-30T12:07:01-07:00,11.16351616,0.008779685
304,2020-10-30T12:07:02-07:00,10.72506952,0.004537917
305,2020-10-30T12:07:03-07:00,11.42467517,0
306,2020-10-30T12:07:04-07:00,11.24452107,0.004896377
307,2020-10-30T12:07:05-07:00,10.45708631,0.004550343
308,2020-10-30T12:07:06-07:00,10.74903122,0.009170867
