Time,Hour,0x00,0x01,0x02
197,2020-10-30T12:05:15-07:00,12000,20,12000
198,2020-10-30T12:05:16-07:00,12000,20,12000
199,2020-10-30T12:05:17-07:00,12000,20,12000
200,2020-10-30T12:05:18-07:00,12000,20,12000
201,2020-10-30T12:05:19-07:00,12000,20,12000
202,2020-10-30T12:05:20-07:00,12000,10,12000
203,2020-10-30T12:05:21-07:00,12000,10,12000
204,2020-10-30T12:05:22-07:00,12000,10,12000
205,2020-10-30T12:05:23-07:00,12000,10,12000
206,2020-10-30T12:05:24-07:00,12000,10,12000
207,2020-10-30T12:05:25-07:00,12000,10,12000
208,2020-10-30T12:05:26-07:00,12000,10,12000
209,2020-10-30T12:05:27-07:00,12000,10,12000
210,2020-10-30T12:05:28-07:00,12000,10,12000
211,2020-10-30T12:05:29-07:00,12000,10,12000
212,2020-10-30T12:05:30-07:00,12000,11,12000
213,2020-10-30T12:05:31-07:00,12000,11,12000
214,2020-10-30T12:05:32-07:00,12000,11,12000
215,2020-10-30T12:05:33-07:00,12000,11,12000
216,2020-10-30T12:05:34-07:00,12000,11,12000
217,2020-10-30T12:05:35-07:00,12000,12,12000
218,2020-10-30T12:05:36-07:00,12000,12,12000
219,2020-10-30T12:05:37-07:00,12000,12,12000
220,2020-10-30T12:05:38-07:00,12000,12,12000
221,2020-10-30T12:05:39-07:00,12000,12,12000
222,2020-10-30T12:05:40-07:00,12000,13,12000
223,2020-10-30T12:05:41-07:00,12000,13,12000
224,2020-10-30T12:05:42-07:00,12000,13,12000
225,2020-10-30T12:05:43-07:00,12000,13,12000
226,2020-10-30T12:05:44-07:00,12000,13,12000
227,2020-10-30T12:05:45-07:00,12000,14,12000
228,2020-10-30T12:05:46-07:00,12000,14,12000
229,2020-10-30T12:05:47-07:00,12000,14,12000
230,2020-10-30T12:05:48-07:00,12000,14,12000
231,2020-10-30T12:05:49-07:00,12000,14,12000
232,2020-10-30T12:05:50-07:00,12000,15,12000
233,2020-10-30T12:05:51-07:00,12000,15,12000
234,2020-10-30T12:05:52-07:00,12000,15,12000
235,2020-10-30T12:05:53-07:00,12000,15,12000
236,2020-10-30T12:05:54-07:00,12000,15,12000
237,2020-10-30T12:05:55-07:00,12000,16,12000
238,2020-10-30T12:05:56-07:00,12000,16,12000
239,2020-10-30T12:05:57-07:00,12000,16,12000
240,2020-10-30T12:05:58-07:00,12000,16,12000
241,2020-10-30T12:05:59-07:00,12000,16,12000
242,2020-10-30T12:06:00-07:00,12000,17,12000
243,2020-10-30T12:06:01-07:00,12000,17,12000
244,2020-10-30T12:06:02-07:00,12000,17,12000
245,2020-10-30T12:06:03-07:00,12000,17,12000
246,2020-10-30T12:06:04-07:00,12000,17,12000
247,2020-10-30T12:06:05-07:00,12000,18,12000
248,2020-10-30T12:06:06-07:00,12000,18,12000
249,2020-10-30T12:06:07-07:00,12000,18,12000
250,2020-10-30T12:06:08-07:00,12000,18,12000
251,2020-10-30T12:06:09-07:00,12000,18,12000
252,2020-10-30T12:06:10-07:00,12000,19,12000
253,2020-10-30T12:06:11-07:00,12000,19,12000
254,2020-10-30T12:06:12-07:00,12000,19,12000
255,2020-10-30T12:06:13-07:00,12000,19,12000
256,2020-10-30T12:06:14-07:00,12000,19,12000
257,2020-10-30T12:06:15-07:00,12000,20,12000
258,2020-10-30T12:06:16-07:00,12000,20,12000
259,2020-10-30T12:06:17-07:00,12000,20,12000
260,2020-10-30T12:06:18-07:00,12000,20,12000
261,2020-10-30T12:06:19-07:00,12000,20,12000
262,2020-10-30T12:06:20-07:00,12000,10,12000
263,2020-10-30T12:06:21-07:00,12000,10,12000
264,2020-10-30T12:06:22-07:00,12000,10,12000
265,2020-10-30T12:06:23-07:00,12000,10,12000
266,2020-10-30T12:06:24-07:00,12000,10,12000
267,2020-10-30T12:06:25-07:00,12000,10,12000
