Time;Datetime;STA 5;STA 6;STA 4;STA 3;STA 1;STA 2
366;2021-01-06T12:41:26+01:00;null;null;null;null;null;null
367;2021-01-06T12:41:27+01:00;null;null;null;null;null;null
368;2021-01-06T12:41:28+01:00;null;null;null;null;null;null
369;2021-01-06T12:41:29+01:00;null;null;null;null;null;null
370;2021-01-06T12:41:30+01:00;null;null;null;null;null;null
371;2021-01-06T12:41:31+01:00;null;null;null;null;null;null
372;2021-01-06T12:41:32+01:00;null;null;null;null;null;null
373;2021-01-06T12:41:33+01:00;null;null;null;null;null;null
374;2021-01-06T12:41:34+01:00;null;null;null;null;null;null
375;2021-01-06T12:41:35+01:00;null;null;null;null;null;null
376;2021-01-06T12:41:36+01:00;null;null;null;null;null;null
377;2021-01-06T12:41:37+01:00;null;null;null;null;null;null
378;2021-01-06T12:41:38+01:00;null;null;null;null;null;null
379;2021-01-06T12:41:39+01:00;null;null;null;null;null;null
380;2021-01-06T12:41:40+01:00;null;null;null;null;null;null
381;2021-01-06T12:41:41+01:00;null;null;null;null;null;null
382;2021-01-06T12:41:42+01:00;null;null;null;null;null;null
383;2021-01-06T12:41:43+01:00;null;null;null;null;null;null
384;2021-01-06T12:41:44+01:00;null;null;null;null;null;null
385;2021-01-06T12:41:45+01:00;null;null;null;null;null;null
386;2021-01-06T12:41:46+01:00;-59.0;null;null;null;null;null
387;2021-01-06T12:41:47+01:00;-59.0;null;null;null;null;null
388;2021-01-06T12:41:48+01:00;-60.0;null;-57.0;null;null;null
389;2021-01-06T12:41:49+01:00;-59.0;null;-57.0;null;null;null
390;2021-01-06T12:41:50+01:00;-59.0;null;-57.0;null;null;null
391;2021-01-06T12:41:51+01:00;-59.0;null;-57.0;null;null;null
392;2021-01-06T12:41:52+01:00;-59.0;null;-57.0;null;null;null
393;2021-01-06T12:41:53+01:00;-59.0;null;-57.0;null;null;null
394;2021-01-06T12:41:54+01:00;-59.0;null;null;null;null;null
395;2021-01-06T12:41:55+01:00;null;null;null;null;null;null
396;2021-01-06T12:41:56+01:00;-59.0;-60.0;null;null;null;null
397;2021-01-06T12:41:57+01:00;null;-60.0;null;null;null;null
398;2021-01-06T12:41:58+01:00;null;-60.0;null;null;null;null
399;2021-01-06T12:41:59+01:00;null;-60.0;null;null;null;null
400;2021-01-06T12:42:00+01:00;null;-60.0;null;null;null;null
401;2021-01-06T12:42:01+01:00;null;-60.0;null;null;null;null
402;2021-01-06T12:42:02+01:00;null;-60.0;null;null;null;null
403;2021-01-06T12:42:03+01:00;null;-60.0;null;null;null;null
404;2021-01-06T12:42:04+01:00;null;null;null;-51.0;null;null
405;2021-01-06T12:42:05+01:00;null;null;null;-51.0;null;null
406;2021-01-06T12:42:06+01:00;null;null;null;-51.0;null;null
407;2021-01-06T12:42:07+01:00;null;null;null;-51.0;null;null
408;2021-01-06T12:42:08+01:00;null;null;null;-51.0;null;null
409;2021-01-06T12:42:09+01:00;null;null;null;-51.0;-60.0;null
410;2021-01-06T12:42:10+01:00;null;null;null;null;-60.0;-48.0
411;2021-01-06T12:42:11+01:00;null;null;null;null;-60.0;-48.0
412;2021-01-06T12:42:12+01:00;null;null;null;null;-60.0;-48.0
413;2021-01-06T12:42:13+01:00;null;null;null;null;-60.0;-48.0
414;2021-01-06T12:42:14+01:00;null;null;null;null;-60.0;-48.0
415;2021-01-06T12:42:15+01:00;null;null;null;null;null;-48.0
416;2021-01-06T12:42:16+01:00;null;null;null;null;null;null
417;2021-01-06T12:42:17+01:00;null;null;null;null;null;null
