#;approach;throughput;slice
386;Gómez et al.;5.489376;QoS 1
387;Gómez et al.;6.313216000000001;QoS 1
388;Gómez et al.;5.905632;QoS 1
389;Gómez et al.;5.6194560000000005;QoS 1
390;Gómez et al.;5.610784;QoS 1
391;Gómez et al.;5.532736;QoS 1
392;Gómez et al.;4.8823360000000005;QoS 1
393;Gómez et al.;5.055776;QoS 1
394;Gómez et al.;null;QoS 1
395;Gómez et al.;4.856319999999999;QoS 1
396;Gómez et al.;null;QoS 1
397;Gómez et al.;null;QoS 1
398;Gómez et al.;null;QoS 1
399;Gómez et al.;null;QoS 1
400;Gómez et al.;null;QoS 1
401;Gómez et al.;null;QoS 1
402;Gómez et al.;null;QoS 1
403;Gómez et al.;null;QoS 1
404;Gómez et al.;null;QoS 1
405;Gómez et al.;null;QoS 1
406;Gómez et al.;null;QoS 1
407;Gómez et al.;null;QoS 1
408;Gómez et al.;null;QoS 1
409;Gómez et al.;null;QoS 1
410;Gómez et al.;null;QoS 1
411;Gómez et al.;null;QoS 1
412;Gómez et al.;null;QoS 1
413;Gómez et al.;null;QoS 1
414;Gómez et al.;null;QoS 1
415;Gómez et al.;null;QoS 1
416;Gómez et al.;null;QoS 1
417;Gómez et al.;null;QoS 1
418;Gómez et al.;null;QoS 1
419;Gómez et al.;null;QoS 1
420;Gómez et al.;null;QoS 1
421;Gómez et al.;null;QoS 1
422;Gómez et al.;null;QoS 1
423;Gómez et al.;null;QoS 1
424;Gómez et al.;null;QoS 1
425;Gómez et al.;null;QoS 1
426;Gómez et al.;null;QoS 1
427;Gómez et al.;null;QoS 1
428;Gómez et al.;null;QoS 1
429;Gómez et al.;null;QoS 1
430;Gómez et al.;null;QoS 1
431;Gómez et al.;null;QoS 1
432;Gómez et al.;null;QoS 1
433;Gómez et al.;null;QoS 1
434;Gómez et al.;null;QoS 1
435;Gómez et al.;null;QoS 1
436;Gómez et al.;0;QoS 1
437;Gómez et al.;0;QoS 1
438;Gómez et al.;null;QoS 1
439;Gómez et al.;0.9365760000000001;QoS 1
440;Gómez et al.;5.870944000000001;QoS 1
441;Gómez et al.;null;QoS 1
442;Gómez et al.;6.6861120000000005;QoS 1
443;Gómez et al.;null;QoS 1
444;Gómez et al.;6.946272;QoS 1
445;Gómez et al.;6.885568;QoS 1
446;Gómez et al.;null;QoS 1
447;Gómez et al.;7.119712000000001;QoS 1
448;Gómez et al.;6.599392;QoS 1
449;Gómez et al.;6.946272;QoS 1
450;Gómez et al.;6.920256;QoS 1
451;Gómez et al.;6.928928;QoS 1
452;Gómez et al.;6.33056;QoS 1
453;Gómez et al.;5.714848;QoS 1
454;Gómez et al.;null;QoS 1
455;Gómez et al.;5.298591999999999;QoS 1
456;Gómez et al.;null;QoS 1
457;Gómez et al.;null;QoS 1
458;Gómez et al.;null;QoS 1
459;Gómez et al.;null;QoS 1
460;Gómez et al.;null;QoS 1
461;Gómez et al.;null;QoS 1
462;Gómez et al.;null;QoS 1
463;Gómez et al.;null;QoS 1
464;Gómez et al.;null;QoS 1
465;Gómez et al.;null;QoS 1
466;Gómez et al.;null;QoS 1
467;Gómez et al.;null;QoS 1
468;Gómez et al.;null;QoS 1
469;Gómez et al.;null;QoS 1
470;Gómez et al.;null;QoS 1
471;Gómez et al.;null;QoS 1
472;Gómez et al.;null;QoS 1
473;Gómez et al.;null;QoS 1
474;Gómez et al.;null;QoS 1
475;Gómez et al.;null;QoS 1
476;Gómez et al.;null;QoS 1
477;Gómez et al.;null;QoS 1
478;Gómez et al.;null;QoS 1
479;Gómez et al.;null;QoS 1
480;Gómez et al.;null;QoS 1
481;Gómez et al.;null;QoS 1
482;Gómez et al.;null;QoS 1
483;Gómez et al.;null;QoS 1
484;Gómez et al.;null;QoS 1
485;Gómez et al.;null;QoS 1
486;Gómez et al.;null;QoS 1
487;Gómez et al.;null;QoS 1
488;Gómez et al.;null;QoS 1
489;Gómez et al.;null;QoS 1
490;Gómez et al.;null;QoS 1
491;Gómez et al.;null;QoS 1
492;Gómez et al.;null;QoS 1
493;Gómez et al.;null;QoS 1
494;Gómez et al.;null;QoS 1
495;Gómez et al.;null;QoS 1
496;Gómez et al.;0;QoS 1
497;Gómez et al.;0;QoS 1
498;Gómez et al.;null;QoS 1
499;Gómez et al.;2.3674560000000002;QoS 1
500;Gómez et al.;12.045408;QoS 1
501;Gómez et al.;7.752768;QoS 1
502;Gómez et al.;8.19504;QoS 1
503;Gómez et al.;null;QoS 1
504;Gómez et al.;7.284479999999999;QoS 1
505;Gómez et al.;6.5733760000000006;QoS 1
506;Gómez et al.;null;QoS 1
507;Gómez et al.;7.449248;QoS 1
508;Gómez et al.;6.963616;QoS 1
509;Gómez et al.;6.608064000000001;QoS 1
510;Gómez et al.;6.842207999999999;QoS 1
511;Gómez et al.;6.772832;QoS 1
512;Gómez et al.;6.772832;QoS 1
513;Gómez et al.;5.498048;QoS 1
514;Gómez et al.;6.261184;QoS 1
515;Gómez et al.;5.89696;QoS 1
516;Gómez et al.;null;QoS 1
517;Gómez et al.;null;QoS 1
518;Gómez et al.;null;QoS 1
519;Gómez et al.;null;QoS 1
520;Gómez et al.;null;QoS 1
521;Gómez et al.;null;QoS 1
522;Gómez et al.;null;QoS 1
523;Gómez et al.;null;QoS 1
