Time;Hour;0x02;0x03;QoS 1;BE 3;BE 4;0x00;0x01
201;2020-11-23T17:53:15+01:00;null;null;null;null;null;null;null
202;2020-11-23T17:53:16+01:00;null;null;null;null;null;null;null
203;2020-11-23T17:53:17+01:00;null;null;null;null;null;null;null
204;2020-11-23T17:53:18+01:00;null;null;null;null;null;null;null
205;2020-11-23T17:53:19+01:00;null;null;null;null;null;null;null
206;2020-11-23T17:53:20+01:00;null;null;null;null;null;null;null
207;2020-11-23T17:53:21+01:00;null;null;null;null;null;null;null
208;2020-11-23T17:53:22+01:00;null;null;null;null;null;null;null
209;2020-11-23T17:53:23+01:00;null;null;null;null;null;null;null
210;2020-11-23T17:53:24+01:00;null;null;null;null;null;null;null
211;2020-11-23T17:53:25+01:00;null;null;null;null;null;null;null
212;2020-11-23T17:53:26+01:00;null;null;null;null;null;null;null
213;2020-11-23T17:53:27+01:00;null;null;null;null;null;null;null
214;2020-11-23T17:53:28+01:00;null;null;null;null;null;null;null
215;2020-11-23T17:53:29+01:00;null;null;null;null;null;null;null
216;2020-11-23T17:53:30+01:00;null;null;null;null;null;null;null
217;2020-11-23T17:53:31+01:00;null;null;null;null;null;null;null
218;2020-11-23T17:53:32+01:00;null;null;null;null;null;null;null
219;2020-11-23T17:53:33+01:00;null;null;null;null;null;0.084;null
220;2020-11-23T17:53:34+01:00;null;null;190.226;null;187.901;55.246;null
221;2020-11-23T17:53:35+01:00;null;null;687.225;null;1058.855;null;null
222;2020-11-23T17:53:36+01:00;null;null;687.225;null;1058.855;55.246;null
223;2020-11-23T17:53:37+01:00;null;null;1713.0439999999999;null;1913.737;172.901;null
224;2020-11-23T17:53:38+01:00;null;null;1713.0439999999999;null;1913.737;785.818;null
225;2020-11-23T17:53:39+01:00;null;null;2405.355;null;2406.031;1748.103;null
226;2020-11-23T17:53:40+01:00;null;null;3318.036;null;3328.133;null;null
227;2020-11-23T17:53:41+01:00;null;null;4069.632;null;4054.321;2565.511;null
228;2020-11-23T17:53:42+01:00;null;null;4832.317;null;4750.653;2200.7889999999998;null
229;2020-11-23T17:53:43+01:00;null;null;3416.297;null;2238.426;657.581;null
230;2020-11-23T17:53:44+01:00;null;null;3416.297;null;2238.426;100.388;null
231;2020-11-23T17:53:45+01:00;null;null;1708.8049999999998;null;1602.085;135.417;null
232;2020-11-23T17:53:46+01:00;null;null;1695.6770000000001;null;1699.2759999999998;73.697;null
233;2020-11-23T17:53:47+01:00;null;null;1689.8690000000001;null;1694.3690000000001;63.624;null
234;2020-11-23T17:53:48+01:00;null;null;1590.876;null;1600.0729999999999;48.333;null
235;2020-11-23T17:53:49+01:00;null;null;1608.4470000000001;null;1615.262;38.58;null
236;2020-11-23T17:53:50+01:00;null;null;null;null;null;59.377;null
237;2020-11-23T17:53:51+01:00;null;null;null;null;null;50.466;null
238;2020-11-23T17:53:52+01:00;null;null;null;null;null;68.297;null
239;2020-11-23T17:53:53+01:00;null;null;null;null;null;null;null
240;2020-11-23T17:53:54+01:00;null;null;null;null;null;null;null
241;2020-11-23T17:53:55+01:00;null;null;null;null;null;null;null
242;2020-11-23T17:53:56+01:00;null;null;null;null;null;null;null
243;2020-11-23T17:53:57+01:00;null;null;null;null;null;null;null
244;2020-11-23T17:53:58+01:00;null;null;null;null;null;null;null
245;2020-11-23T17:53:59+01:00;null;null;null;null;null;null;null
246;2020-11-23T17:54:00+01:00;null;null;null;null;null;null;null
247;2020-11-23T17:54:01+01:00;null;null;null;null;null;null;null
248;2020-11-23T17:54:02+01:00;null;null;null;null;null;null;null
249;2020-11-23T17:54:03+01:00;null;null;null;null;null;null;null
250;2020-11-23T17:54:04+01:00;null;null;null;null;null;null;null
251;2020-11-23T17:54:05+01:00;null;null;null;null;null;null;null
252;2020-11-23T17:54:06+01:00;null;null;null;null;null;null;null
253;2020-11-23T17:54:07+01:00;null;null;null;null;null;null;null
254;2020-11-23T17:54:08+01:00;null;null;null;null;null;null;null
