Time;Hour;0x00;0x01;0x02;0x03;QoS 1;BE 3;BE 4
363;2020-11-23T18:51:46+01:00;7.18;null;null;null;null;604.999;null
364;2020-11-23T18:51:47+01:00;0.023;null;null;null;null;627.956;null
365;2020-11-23T18:51:48+01:00;7.992;null;null;null;null;756.047;null
366;2020-11-23T18:51:49+01:00;38.587;null;null;null;null;707.113;null
367;2020-11-23T18:51:50+01:00;14.345;null;null;null;null;615.481;null
368;2020-11-23T18:51:51+01:00;6.359;null;null;null;null;631.182;null
369;2020-11-23T18:51:52+01:00;10.793;null;null;null;null;627.094;null
370;2020-11-23T18:51:53+01:00;10.793;null;null;null;null;631.09;null
371;2020-11-23T18:51:54+01:00;10.594;null;null;null;null;674.812;null
372;2020-11-23T18:51:55+01:00;13.829;null;null;null;null;669.367;null
373;2020-11-23T18:51:56+01:00;17.463;null;null;null;null;650.092;null
374;2020-11-23T18:51:57+01:00;34.859;null;null;null;null;623.641;null
375;2020-11-23T18:51:58+01:00;14.754;null;null;null;null;595.206;null
376;2020-11-23T18:51:59+01:00;1.535;null;null;null;null;701.829;null
377;2020-11-23T18:52:00+01:00;19.896;null;null;null;null;646.937;null
378;2020-11-23T18:52:01+01:00;20.342;null;null;null;null;608.556;null
379;2020-11-23T18:52:02+01:00;13.343;null;null;null;null;610.452;null
380;2020-11-23T18:52:03+01:00;13.343;null;null;null;null;649.004;null
381;2020-11-23T18:52:04+01:00;6.323;null;null;null;null;646.839;null
382;2020-11-23T18:52:05+01:00;24.566;null;null;null;null;643.512;null
