sep=;
"Time";"00:0D:B9:42:6A:00";"00:0D:B9:42:72:08"
"2020-06-28T17:03:03+02:00";0.0005120444444444445;0
"2020-06-28T17:03:04+02:00";0;0
"2020-06-28T17:03:05+02:00";0;0
"2020-06-28T17:03:06+02:00";0;0.0006125555555555555
"2020-06-28T17:03:07+02:00";0.0005167888888888889;0
"2020-06-28T17:03:08+02:00";0;0
"2020-06-28T17:03:09+02:00";0;0
"2020-06-28T17:03:10+02:00";0;0.0006201
"2020-06-28T17:03:11+02:00";0.0005144222222222222;0
"2020-06-28T17:03:12+02:00";0;0
"2020-06-28T17:03:13+02:00";0;0
"2020-06-28T17:03:14+02:00";0;0.0006318444444444444
"2020-06-28T17:03:15+02:00";0.0005097666666666667;0
"2020-06-28T17:03:16+02:00";0;0
"2020-06-28T17:03:17+02:00";0;0
"2020-06-28T17:03:18+02:00";0;0.0006168888888888889
"2020-06-28T17:03:19+02:00";0.0005177333333333333;0
"2020-06-28T17:03:20+02:00";0;0
"2020-06-28T17:03:21+02:00";0;0
"2020-06-28T17:03:22+02:00";0;0.0006171888888888888
"2020-06-28T17:03:23+02:00";0.0005146777777777778;0
"2020-06-28T17:03:24+02:00";0;0
"2020-06-28T17:03:25+02:00";0;0
"2020-06-28T17:03:26+02:00";0;0.0006193111111111111
"2020-06-28T17:03:27+02:00";0.0005137888888888889;0
"2020-06-28T17:03:28+02:00";0;0
"2020-06-28T17:03:29+02:00";0;0
"2020-06-28T17:03:30+02:00";0;0.0005979888888888889
"2020-06-28T17:03:31+02:00";0.0005523222222222222;0
"2020-06-28T17:03:32+02:00";0;0
"2020-06-28T17:03:33+02:00";0;0
"2020-06-28T17:03:34+02:00";0;0.0005793111111111111
"2020-06-28T17:03:35+02:00";0.0005635888888888889;0
"2020-06-28T17:03:36+02:00";0;0
"2020-06-28T17:03:37+02:00";0;0
"2020-06-28T17:03:38+02:00";0;0.0006153444444444444
"2020-06-28T17:03:39+02:00";0.0005190888888888889;0
"2020-06-28T17:03:40+02:00";0;0
"2020-06-28T17:03:41+02:00";0;0
"2020-06-28T17:03:42+02:00";0;0.0006161111111111111
"2020-06-28T17:03:43+02:00";0.0005150333333333334;0
"2020-06-28T17:03:44+02:00";0;0
"2020-06-28T17:03:45+02:00";0;0
"2020-06-28T17:03:46+02:00";0;0.0012653888888888888
"2020-06-28T17:03:47+02:00";0.0011855555555555556;0
"2020-06-28T17:03:48+02:00";0;0
"2020-06-28T17:03:49+02:00";0;0
"2020-06-28T17:03:50+02:00";0;0.0006170888888888888
"2020-06-28T17:03:51+02:00";0.0005115333333333334;0
"2020-06-28T17:03:52+02:00";0;0
"2020-06-28T17:03:53+02:00";0;0
"2020-06-28T17:03:54+02:00";0;0.0006137222222222222
"2020-06-28T17:03:55+02:00";0.0005124222222222222;0
"2020-06-28T17:03:56+02:00";0;0
"2020-06-28T17:03:57+02:00";0;0
"2020-06-28T17:03:58+02:00";0;0.0006232
"2020-06-28T17:03:59+02:00";0.0005124999999999999;0
"2020-06-28T17:04:00+02:00";0;0
"2020-06-28T17:04:01+02:00";0;0
"2020-06-28T17:04:02+02:00";0;0.0006199999999999999
"2020-06-28T17:04:03+02:00";0.0005137666666666667;0
"2020-06-28T17:04:04+02:00";0;0
"2020-06-28T17:04:05+02:00";0;0
"2020-06-28T17:04:06+02:00";0;0.0006127222222222223
"2020-06-28T17:04:07+02:00";0.0005139111111111111;0
