Time;QoS 1;BE 1;BE 2;BE 3;QoS 2;;;;;;
218;2.0726080000000002;9.070912;;;;;;;;;
219;2.0899520000000003;8.004256;;;;;;;;;
220;2.21136;7.960896;;;;;;;;;
221;2.462848;9.19232;;;;;;;;;
222;1.292128;7.960896;;;;;;;;;
223;2.228704;8.385824000000001;;;;;;;;;
224;2.003232;8.273088;;;;;;;;;
225;2.0899520000000003;7.362528;;;;;;;;;
226;2.011904;7.527296000000001;;;;;;;;;
227;2.0726080000000002;7.440576;;;;;;;;;
228;2.376128;8.030272;;;;;;;;;
229;2.055264;7.32784;;;;;;;;;
230;2.029248;8.351136;;;;;;;;;
231;2.272064;7.995584;;;;;;;;;
232;2.063936;;;;;;;;;;
233;2.3674560000000002;;;;;;;;;;
234;2.020576;;;;;;;;;;
235;2.1159679999999996;;;;;;;;;;
236;1.86448;;;;;;;;;;
237;2.141984;;;;;;;;;;
238;2.202688;;;;;;;;;;
239;2.2633919999999996;;;;;;;;;;
240;2.020576;;;;;;;;;;
241;2.107296;;;;;;;;;;
242;1.803776;;;;;;;;;;
243;2.1159679999999996;;;;;;;;;;
244;2.020576;;;;;;;;;;
245;2.011904;;;;;;;;;;
246;2.03792;;;;;;;;;;
247;2.1159679999999996;;;;;;;;;;
248;2.063936;;;;;;;;;;
249;2.08128;;;;;;;;;;
250;2.2373760000000003;;;;;;;;;;
251;1.630336;;;;;;;;;;
252;2.159328;;;;;;;;;;
253;1.612992;;;;;;;;;;
254;2.141984;;;;;;;;;;
255;2.141984;;;;;;;;;;
256;2.280736;;;;;;;;;;
257;1.7083840000000001;;;;;;;;;;
258;3.0091840000000003;;;;;;;;;;
259;2.1159679999999996;;;;;;;;;;
260;2.202688;;;;;;;;;;
261;2.289408;;;;;;;;;;
262;2.003232;;;;;;;;;;
263;2.289408;;;;;;;;;;
264;2.272064;;;;;;;;;;
265;2.0986239999999996;;;;;;;;;;
266;2.350112;;;;;;;;;;
267;1.9772159999999999;;;;;;;;;;
268;2.020576;;;;;;;;;;
269;2.107296;;;;;;;;;;
270;2.185344;;;;;;;;;;
271;2.1159679999999996;;;;;;;;;;
272;2.0986239999999996;;;;;;;;;;
273;2.358784;;;;;;;;;;
274;1.9945599999999999;;;;;;;;;;
275;1.786432;;;;;;;;;;
276;2.272064;;;;;;;;;;
277;2.020576;;;;;;;;;;
278;1.855808;;;;;;;;;;
279;2.0726080000000002;;;;;;;;;;
280;2.168;;;;;;;;;;
281;2.627616;;;;;;;;;;
282;1.8731520000000002;;;;;;;;;;
283;2.020576;;;;;;;;;;
284;2.063936;;;;;;;;;;
285;1.9858879999999999;;;;;;;;;;
286;2.0986239999999996;;;;;;;;;;
287;2.0986239999999996;;;;;;;;;;
288;2.306752;;;;;;;;;;
289;2.055264;;;;;;;;;;
290;2.150656;;;;;;;;;;
291;2.020576;;;;;;;;;;
292;;;;;;;;;;;
293;;;;;;;;;;;
294;;;;;;;;;;;
295;;;;;;;;;;;
296;;;;;;;;;;;
297;;;;;;;;;;;
298;;;;;;;;;;;
299;;;;;;;;;;;
300;;;;;;;;;;;
301;;;;;;;;;;;
